stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0
  5-6,0,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.24,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.13,0,0,0,0,0,106.76,0,0,0,0,0,2.32,0,0,1.56,6.64,0.88,0,0,0,0,30.73,5.93,1.46,2.07,1.03,0,0,0,0
 24-34,0,0,0.59,1.76,0.87,1.64,0,0,0,421.33,0,0,0,0,0,2.99,1.1,0,4.17,42.89,0,0,0,0,2.91,62.71,0,1.49,0,4.74,0,0,0,0.63
 36-46,0,0,0,0,0,4.42,0,2.68,0,118.75,0,0,4.54,0,0,1.41,0,0,0.57,39.29,0,0,0,32.82,0,31.71,0,0,0,3.17,0,0,0,0
 48-58,0.39,0,0,3.15,2.12,10.33,0,0.37,0,49.64,0,0,0,0,0,4.93,0,2.52,8.19,19.65,0,0,0,0,0,13.73,0,0,0,3.98,0,0,0,0
 60-70,0,0,0,0.72,0,45.34,0,2.48,0,88.56,0,0,1.2,0,0,15.76,0,0,0,65.61,0,0,0,0,0,11.54,0,0,0,12.8,1.11,0,9.59,0
 72-82,0,0,0,5.82,0,55.33,0,1.25,0,14.4,0,0.66,2.2,0,0,8,0,12.39,0,95.85,0,0,3.5,0,3.03,0,0,0,0,5.02,1.38,0.63,49.16,0
 84-94,0,0,0,0,3.44,62.25,0,1.55,0,24.1,0,0,2.51,0,0.58,9.66,0,3.71,0,120.54,0,0,0.92,0,0.57,0,0,0,0,0,21.03,0,89.33,0
 96-106,0,0,0,8.55,1.37,46.65,1.1,0,4.04,47.84,1.93,1,2.1,1.59,0,11.5,0,15.34,7.66,26.9,0,0,0.98,0,4.39,0,0,0,0,6.22,5.55,0,58.92,0
108-118,0,0,0,8.63,0,62.59,0,3.03,0,58.4,0,0,2.65,0,0,16.8,0,2.7,0,91.75,0,2.86,2.87,0,2.25,0,0,1.47,0,0,1.22,0,40.13,7.8
120,0,0,0,14.94,0,20.5,1.12,5.35,0,18.86,0,0,0,1.07,0,36.41,0,22.3,0,221.09,0,0,0,0,22.66,0,0,0,0,5.59,0,0,37.54,6.28
