stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.45,0,0,0,14.21,0,0,0,0,0,0,0,0,0
 10-12,0,6.23,0,0,0,20.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58,5.7,0,0,9.52,0,0,4.37,4.63,0,0,0,0,0
 14-21,0,0,0,0,0,4.65,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,8.93,0,0,0,0,0,0,1.53,0,5.1,0,0,0,0
 24-34,0,0,0,0,0,24.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12,0,0,1.16,0,0,0,0,0,0.68,0,0,0,0
 36-46,0,0,0.63,0,0,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.49,0,0,0,0,0,0,0,0,3.44,0,0,0,0
 48-58,0,0,0,0,0,73.57,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1705.25,0,0,2.8,0,0,0,0,0,0,0,2.46,0,0,7.6,40.01,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 72-82,0,0,19.22,6.51,0,4110.37,0,4.41,39.93,0.84,0,2.36,0.61,0,0,0,13.45,0,1.92,0,83.72,0,0,6.49,0,0,0,0,0,3.98,0,0,3.72,5.15
 84-94,0,0,15.32,0,0,2942.11,1.37,0,53.89,0,0,0,0,0,0,0,31.53,0,0,0.57,102.57,0,0,0,0,0,0,0,0,4.54,2.89,0.78,2.3,9.62
 96-106,0,0,5.82,7.5,1.05,4782.05,2.01,0,44.08,0,2.19,1.41,0,0,0.79,0,10.67,1.09,0.66,0,114.5,0.79,0,0,0,0.97,6.12,0,0,3.8,0,0,1.91,0.75
108-118,0,0,22.06,0,0,3174.73,0,1.27,17.65,1.19,0,4.32,0,6.54,0,0.45,14.39,0,0,3.87,92.9,0,0.57,5.66,0,0,0.47,0,1.48,0,0,2.17,0,0
120,0,0,3.86,0,0,1292.16,1.12,0,58.36,0,0,0,0,0,1.88,0,0,0,0,2.28,134.39,0,0,14.74,0,0,0,0,0,0,0,0,0,8.94
