stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.62,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,0,27.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.03,0,0,0,23.07,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,0.93,5.2,2.85,0,0,0,0,1.33,0,0,0,0,0,0,2.02,0,0,27.68,0.97,0,0,0,0,0.91,7.19,5.14,0,0,0,0,0
 24-34,0,0,0.61,0,4.94,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0.69,53.7,0,0,0,0,6.43,0,0.75,5.56,0,0,0,0,0
 36-46,0,0,0,0,5.78,0,0,0,2.44,0,0,0,0,0,0,0,25.1,0,0,52.15,0,0,0,0,0.76,0,0,11.1,0,0,0,0,0
 48-58,0,0,1.41,0,19.52,0,0,0,9.81,0,0,0,0,0,0,0.54,7.75,0,0,44.32,0,1.08,0,0,1.01,0,0,13.81,0,0,0.93,0,0
 60-70,0,0,0,0,33.77,0.58,0,0,1.23,0,0,0,0.71,0,0,0,6.54,0,2.85,32.57,0,0,0,0,0,0,0,6.54,0,0,1.11,0,0
 72-82,0,0,1.06,1.83,41.74,1.52,2.88,0,11.45,0.64,0,0,0,0,0,0,10.82,0.56,2.03,79.19,0,0,0,0,0,0,0,2.91,0,0,6,0,0
 84-94,0,0.74,0,2.39,38.23,0,0,0.77,9.31,0.63,0,0.92,0,0,0,0,2.85,0,1.3,50.9,0,0,0,0,2.44,0,0,25.7,0.66,0,8.49,0,0
 96-106,0,2.46,0,0,26.21,0.64,0,1.24,2.79,0.74,0.73,1.19,0,1.02,2.39,0,15.69,0,4.73,57.01,0.66,6.24,0,0,0.82,0,0,0,0,1.94,0.96,0,8.79
108-118,0,0,1.38,11.74,39.04,0,0,0,8.04,1.29,0,0.47,0,0,2.71,0,12.82,0,1.58,38.28,0,0,2.33,0,0.47,0,0,0,0.71,0,0,1,0
120,0,0,1.46,15.77,24.12,0,0,0,26.16,0,0,0,0,0,0,0,5.07,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0
