stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.75,183.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,87.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.23,0,0,14.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0.82,0,0,0,0,3.1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.47,0,0,0,2.06,0,0,61.94,0,0,0,0,0,0.6,0,21.86,0,1.75,0
 36-46,0,0,0.59,0,0,0,0,2.86,0,0.84,0,0,0,5.4,0.86,0,131,0.83,0,0,0,0,0,0,19.62,0,0,0
 48-58,0,0,0,0,0.82,0,0.58,1.64,0,0,0,0,0,3.92,0,0,120.85,0,0,0,0,0,0,1.3,15.31,0,0.52,0
 60-70,0,0,0,4.29,1.65,0,0,12.28,0,0.93,0,0,0,12.32,2.6,0,192.61,0,0,0,1.08,0,0,0,17.04,0.99,0,2.62
 72-82,0,0,1.2,0,7.47,4.55,0,8.84,0,2.92,0,0,3.31,9.06,6.08,1.72,165.28,0,0,0,7.78,0.78,0.76,0,8.64,2.08,1.24,11.64
 84-94,0,0,2.85,0,10.08,0,0.83,11.69,2.27,3.48,0,2.16,0,4.04,3.16,0,122.83,0,0,0,0.6,0,0,0,3.29,4.37,0,16.87
 96-106,0,0,0,0,2.41,0,0,7.08,0,0.96,1.35,0,0,2.6,3.32,1.19,89.74,0,0,0,2.83,0,0,0,0,3.35,0,20.83
108-118,0,0,0,0,34.19,0.7,0,5.26,0,0,0,4.92,0,5.77,5.85,2.88,109.77,0,0,0,7.82,0,0,0,0.55,5.59,0,13.02
120,0,0,0,0,11.11,0,0,7.28,0,0,0,8.18,0,13.14,0,0,239.16,0,4.87,0,2.76,0,0,0,3.82,2.55,3.65,24.61
