stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0
  5-6,34.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,3.59,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,26.38,0,0,0,0,0,0,0,1.23,0,11.97,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.09,0,0,0,4.42,0,0,0,0,0,0,0,0,0.96,0,0,285.4,0,8.99,0,0,0,0,0,5.07,0.78,79.96,0,0,2.79,0,0
 36-46,0,0,0,0.98,0,0,15.2,8.15,0,0,18.35,0,0.82,0,0,0,4.07,0,0,0,0,1.13,964.7,0,6.01,0,0,0,0,0,7.59,0,261.8,0,0,1.12,0,0
 48-58,0,0,0,0.88,0,0,98.3,21.75,0,0,46.06,0,0,0,0,0,0.48,0,0,8.55,0,0,1352.94,0,3.03,4.41,0,0,4.95,0,18.5,0,297.34,0,0,0.46,0,4.4
 60-70,0,0,0,0.86,0,0,400.26,7.48,6.21,0,47.16,0.85,0.61,2.61,0,0,0,0,0,24.89,1.34,2.69,1465.98,0,1.12,0.62,0,0,0,8.1,9.29,0,233.46,0,0,0,0,12.75
 72-82,0,0.54,0,4.6,0,0,629.43,3.47,0.5,4.97,68.91,0.56,0.66,0,0,0,0.49,0,0.5,17.32,0,5.6,1666.04,0,5.27,1.21,0,0.87,1.89,0,11.31,0,232.38,0,0,4.76,1.64,0
 84-94,0,0,0,18.14,0,1.54,490.1,5.08,0.68,2.18,49.15,0,0,1.88,0,0,1.3,0,0,20.91,0.6,10.16,1133.85,0,5.18,5.93,0,0,2.81,0,1.51,0,151.98,0.61,3.46,0,0,9.49
 96-106,0,0,0,11.89,7.5,0,477.7,26.27,2.85,0.62,64.58,0,0,1.44,0.58,0,1.59,9.42,0,14.7,0,0.58,1131.56,0,9.2,4.73,0,3.21,2.89,1.05,5.26,0,58.86,0,1.2,0,0,5.73
108-118,0,0,0,4.38,1.52,0,520.27,14.46,0,0,89.59,0.52,0.47,0.76,0,0.65,0.7,3.97,1.73,19.62,0,12.26,1378.91,0,6.77,2.88,8.11,7.12,1.86,0.85,18.91,0,82.79,1.35,1,1.03,0,0
120,0,0,0,24.64,0,0,359.29,6.56,0,0,96.22,0,0,0,0,11.36,0,0,0,27.26,0,6,1490.22,0,23.2,1.61,0,19.05,1.25,2.78,14.84,0,74.63,0,0,0,0,0
