stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,736.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362.94,0,0,0,0,0,0,0,0,0
  5-6,34.11,703.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.56,0,0,0,0,0,1429.64,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,99.89,0,0,0,10.6,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,660.43,8.52,0,0,137.89,0,195.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,47.44,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.7,13.5,0,0,194.28,0,39.48,0,7.62,0,5.88,0,0,0,0,0
 14-21,0.93,0,1.64,0,107.43,0,0,0.98,0,0,0,6.72,0,0,0,0,223.26,0,0,77.34,0,4.89,20.7,0,0,63.35,2.38,0,0,0,0,10.74,3.84,163.64,0.97,81.32,0,0,0.89,0,0
 24-34,0,0,10.79,0.64,33.08,0,0,1.94,0,3.13,0,5.01,0.91,0,0,0,763.92,1.45,0,71.22,0,60.72,53.31,0,4.11,554.25,0.65,3.83,0.62,0,0,4.69,0.97,299.65,1.9,44.11,0,0,12.8,0,0
 36-46,0,0,0.85,0,16.05,0,0,39.34,0,0,2.23,15.1,0,0,1,8.66,508.87,0,3.54,25.56,0,89.97,50.24,2.64,4.5,632.57,0,12.2,1.04,0,0,13.33,0,224.5,0,49.66,0,5.7,33.1,0,11
 48-58,0,0,10.94,0,23.04,0,0,31.74,1.1,0.67,11.05,25.05,0,0,1.06,0,92.47,21.84,7.89,38.85,0,150.44,12.97,1.96,7.76,545.55,0,0.42,11.71,0,0,4.82,0,80.22,0,55.27,0,1.35,21.51,0,0
 60-70,0,0,19.17,0,13.23,3.51,0,67.71,0,0,2.35,38.35,6.18,0,6.4,0,19.97,82.93,0.63,1.41,2.78,510.42,2.84,6.89,12.2,511.77,0,0,0.72,0,19.45,15.71,0,109.93,0,176.38,0,10.04,8.97,2.23,1.76
 72-82,0,0,20.62,0,21.13,12.42,0,64.23,0,0,16.77,47.5,12.6,0,1.6,4.14,29.72,229.44,4.8,6.13,6.19,562.16,0,7.81,7.03,601.38,0,1.45,1.51,0,24.79,30.12,0,110.25,0,151.24,0,17.07,17.21,2.84,0
 84-94,0,0,45.82,0,36.34,6.27,0,126.25,0,4.91,6.71,35.66,16.19,0,0,0,37.37,349.67,3.55,26.24,0,569.17,0.61,10.39,8.72,433.8,0,22.76,0,0,20.03,61.74,0,162.66,0,53.56,0,5.65,5.89,2.43,0
 96-106,0,0,18.21,3.08,73.44,1.36,1.97,158.95,4.93,0.65,9.83,48.18,28.22,0,1.02,0.69,25.53,425.78,6,23.99,0,467.17,0.83,26.59,21.01,469.16,0.61,4.95,1.07,0,39.44,28.9,0,141.59,0,16.34,1.76,6.85,1.25,4.54,11.65
108-118,0,0,35.75,3.55,91.91,1.95,0,139.62,0,3.02,13.57,41.96,28.29,0,0,1.19,33.86,636.37,9.9,18.96,0,619.82,10.16,38.28,8.1,583.55,0.46,7.54,0,0,56.59,30.53,0,115.73,0,46.45,0,3.76,6.69,0.42,7.81
120,0,0,15.5,0,171.24,0,0,64.3,0,7.05,0,47.23,32.24,0,0,2.56,23.93,491.18,16.39,37.81,0,712.76,0,21.51,16.48,1124.05,0,14.73,0,10.96,93.17,38.27,0,35.23,0,44.66,0,0,10.86,11.12,0
