stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,36.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.16,0,0,0,0,0,0,0,0,0,14.38,0,0,0,18.14,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,40.54,0,0,0,15.45,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,1.07,0,0,2.04,0
 24-34,0,0,2.46,0,0,0,0,1.77,1.04,0,1.06,1.29,17.84,0,1.06,1.06,0,0.92,0.71,8
 36-46,0,0,0,0,0,0,0,0,0,0,1.55,0.57,15.79,1.7,0,0,0,0,0,0
 48-58,0,0,0,0,0.47,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,2.16
 60-70,0,0,0.85,3.68,0,4.67,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0
 72-82,0,0,3.08,0,0,0,0,0,0,0.99,0.92,0,1.38,0,0,0,0,0,0,0
 84-94,0,1.44,3.37,0,0,1.57,0,0,0,0,0,0.87,5.71,0,0,0,0,0,0,0.68
 96-106,0,0,0,0,0,0,0.64,0,0,0,0.61,2.91,0,0,0,0.92,0,0,0,0
108-118,0,0,0.75,0,0,2.08,0.45,0,0,0,0,0.58,0.76,0,0,1.81,0,0,0,0
120,0,0,6.34,0,0,0,0,0,0,0,2.51,1.24,1.4,0,0,0,0,0,0,0
