stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.38,8.81,36.23,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,28.43,5.34,0,0,0,0,0,2.43,0,4.41,5.43,15.47,0,0,1.62,0,0
 24-34,0,2.66,7.84,0,23.86,0,0,0,16.63,0.67,0,0,0,0,0,0,6.69,16.46,0,0,2.78,397.75,2.12,0.75,0,0,3.59,0,0,0,0.87,0.8,111.31,0,0,8.64,0,12.08
 36-46,0,0,2.27,0.58,55.81,0,0,1.25,57.25,0,0,0,0,0,2.29,0,0,38.8,0,0,5.25,1279.23,0.57,4.04,3.49,0,9.22,1.54,0,0,0,0,229.54,0,0.85,0.81,0,8.57
 48-58,0,0,10.32,0,170.23,0,0,0.41,107.42,0,0,0,0,0.63,3.18,0,5.53,38.68,0,0,5.25,2067.57,5.13,0,8.96,0.56,1.15,0,0,0,1.46,0,353.98,0,0,0.46,0,58.88
 60-70,0,0,5.95,0,320.68,0,0,0.75,154.15,0.85,0,0,0,7.43,2.86,0,19.68,40.29,0,0.91,0.75,3064.98,0,0.96,9.16,0.82,6.18,0,0,0,0,0,392.44,0,0.6,0.83,5.21,28.06
 72-82,0,0,16.68,1.6,501.08,0,0,0,132.32,0,0,8.58,0,6.73,5.26,0,3.4,67.9,0,4.79,6.19,3072.43,0.53,3.23,15.1,0,4.08,0,0,0,0,0,261.07,0,2.97,2.04,2.3,48.46
 84-94,1.14,0,8.27,10.28,500.49,0,0,0.87,69.34,1.94,0,0,2.51,12.16,2.61,3.42,38.86,45.66,1.34,10.24,7.97,2052.5,0,3.11,15.58,0,10.69,0,0,0,0,0,181.16,0.9,1.17,0.59,1.89,32.55
 96-106,5.72,0,14.48,1.76,373.54,0.68,0,2.04,81.11,0,0,3.95,2.16,2.82,3.55,6.42,7.81,50.52,0,4.16,0,1623.86,0,0,20.75,7.07,5.76,0,0,0,0,0,78.49,2.19,1.01,1.71,3.37,15.45
108-118,4.12,1.47,13.34,0.9,431.72,0,1.36,0,103.58,2.35,0,0,0.84,5.15,2.76,0,20.2,47.71,0,4.95,2.58,2063.15,0.71,6.08,28.6,0,5.22,0,0,0,0,0,48.81,0,1.61,0.55,0,50.42
120,0,0,72.44,0,717.76,0,1.73,1.58,161.25,0,2.11,0,1.51,0,8.51,5.29,19.8,58.4,1.65,19.96,6.72,4346.07,0,18.12,58.83,0,5.18,0,0,1.42,0,0,103.75,1.37,2.71,0,0,7.18
