stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.95,0,0,0,2.93,0,29.37,0,0
 24-34,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0.98,0,158.96,0,0
 36-46,0,0,0,0,0,0,0,1.51,0,0,1.19,0,0,0,0,6.85,0,0,0,0,0,1.36,0,60.78,0.78,1.16
 48-58,0,0,0,0,6.97,0,0,2.24,0,0,30.37,0,0,0,0,12.5,0,0,0,0,0,0,0,53.06,0,55.73
 60-70,0,0,0,0,0,0,4.01,11.96,0,0,23.93,2.74,0,0.93,0,12.54,0,0,5.69,0,0,2.85,0,81.48,3.26,29.43
 72-82,0,0,0,0,4.19,0.94,33.29,7.69,0,0.73,30.11,16.36,0,2.25,1.67,6.91,2.42,0,19.63,0,0,2.84,6.74,181,5.57,31.02
 84-94,0,0,0,0,8.1,0,37.4,2.82,0.71,0.75,59.05,13.5,0,5.24,2.56,7.54,0,0,16.05,0,0,0,5.89,191.53,7.75,97.87
 96-106,0,0,0.74,4.39,7.86,0,56.54,5.33,0,1.02,32.57,26.04,1.64,2.19,17.26,30.74,0,0,70.89,3.49,1.84,0,2.1,234.56,9.15,67.57
108-118,0,0,0,0,6.61,1.08,48.42,2.81,1.01,5.45,56.85,10.41,0,3,6.28,8.84,0,0,58.24,0.52,2.05,0,3.79,211.83,7.61,102.12
120,0,0,3.54,0,14.58,0,66.41,7.1,0,10.55,7.05,21.62,0,0,9.29,2.72,0,0,31.28,0,0,0,0,205.26,0,27.97
