stage,axial,blastomeres,epidermis,glial,hatching.gland,immune,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,vasculature
  3-4,13.98,569.61,0,0,0,0,0,0,0,0,33.95,0
  5-6,27.57,275.06,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,4.31,0,0,13.23,0,4.02,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.78,0,0
 14-21,0,0,0,0,0,0,0,1.23,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.45,0,0,0
 48-58,0,0,1.3,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.49,1.23,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.44,0,0,0,0.61
 96-106,0,0,0,0,0,0,0,0.96,0,0,0,2.12
108-118,0,0,0,0,0,0,0,0.92,0,0,0,0
120,0,0,0,1.78,0,0,0,0,0,0,0,0
