stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.04,51.16,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.75,0,0,0,66.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,49.96,39.92,0,0,245.63,0,0,0,0,0,5.94,0,0,0,0,3.73,0,0,0,0,0,2762.1,5.29,0,0,779.38,0,3.07,4.61,11.74,0,0,15.88,0,0,0,0,0
 14-21,0,1.91,56.89,9.44,1.76,0,8.57,0,171.4,1.03,0,0,0,0,0,6.85,0,80.09,0,0,10.56,680.15,4.59,0,2.6,144.82,0,2.32,27.97,0,0,46.41,1772.68,0,0,0,0,0
 24-34,0,13.36,58.89,0.78,12.46,0,52.31,1.76,184.3,0,0,10.93,1.7,0,0,38.95,0,230.26,0,0,23.81,988.08,11.68,0,9.71,0,0,8.66,2.33,0,3.93,62.72,493.53,0,0,1.68,0,0
 36-46,0,1.95,13.22,0,15.78,3.78,63.62,10.13,107.07,0,0,15.5,0,0,0.67,21.38,5.79,233.54,0.56,0,38.58,571.14,3,0,2.55,0,4.12,4.3,1.82,0,12.27,0.83,153.99,0,0,0.73,0,0
 48-58,0,0,31.14,0,22.24,4.53,92.36,30.43,123.79,0,0,13.03,0,0,2.03,21.67,2.55,304.79,0,2.72,64.57,220.08,12.8,0,4.01,0,0.53,9.33,0,0,7.06,0,131.12,0,1.7,0,0,10.19
 60-70,0,0,23.69,0,40.43,9.16,82.42,110.47,213.89,1.59,0,17.64,0,0,1.7,15.42,0,726.32,0,5.21,133.98,110.96,6.42,0,3.58,0,1.97,4.9,0,0,7.11,0,71.04,2.13,3.3,0,3.17,0
 72-82,0,0,24.32,2.02,70.69,15.15,63.28,121.3,191.99,0,0,20.09,0,0,0,8.71,0,959.96,0,7.06,127.26,104.72,0,1.23,10.64,0,7.67,6.32,0,0,0.74,0,0,0.5,12.13,19.36,10.35,1.17
 84-94,0,0,67.67,1.71,56.45,19.59,109.32,80.7,169.03,0,0,17.46,0,1.13,0.73,2.2,0,973.99,1.4,5.02,92.16,30.61,1.2,0,4.27,0,44.3,15.31,0,0,3.46,0,29.19,5.51,17.95,4.15,8.38,0
 96-106,0,1.07,58.93,0,62.11,8.72,86.52,164.65,112.91,1.54,0,44.22,0,3.11,0.6,4.34,1.06,923.09,0.76,3.26,96.51,80.32,0.7,2.05,35.75,0,27.87,21.7,0,0,6.49,0,5.55,1.5,14.55,20.14,26.34,0
108-118,0,1.46,68.93,0,46.9,10.25,138.7,90.43,94.72,1.92,0,21.32,0.78,0,0,5.66,0,976.7,2.32,5.84,91.18,78.49,0,1.56,15.35,0,20.46,15.1,0,0.69,6.99,0,4.12,3.75,7.48,36.28,26.98,11.46
120,0,0,58.42,0,47.63,8.75,108.72,124.57,182.33,1.45,0,12.46,0,2.11,0,0,0,1010.53,0,5.31,41.43,58.62,0,1.88,1.66,0,36.37,18.94,0,0,0,0,0,0,16.94,34.52,25.26,0
