stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.35,33.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.27,0,0,3.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,3.12,10.71,0,4.72,0,0,0,0,0,0,0
 14-21,0,0,2.34,0,1.73,0,0,0.9,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,3.31,1.44,7.4,3.13,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0.83,0,0,0,3.94,0,2.18,34.85,0,0,0,0.67,0,1.83,0.74,4.58,2.46,0
 36-46,0,0,0,0,3.14,3.2,0,0,0,0,0,0,0,0,1.21,1.07,1.95,15.1,0,0,0,3.22,0,0,0,15.95,0,0.93
 48-58,0,0,0,0,13.83,1.7,0,3.06,0,0,0,0,0,0,1.63,0,0,33.76,0,0,0,1.71,0,0,0,12.01,0.8,0
 60-70,0,0,0,0,12.53,0,0,1.79,0,0,0,5.9,0,0,2.13,0.62,0,18.56,0,0,0,0,0,0.65,0,16.19,0,0
 72-82,0,0,1.32,0,9.58,2.5,0.94,3.61,0,0,0,0,0,0,3.92,0,0,32.06,0,0.86,0,0,0,0,0,14.69,0,0
 84-94,0,0,0.87,0,1.54,0,0,6.14,0,0,0.67,0,0,0,6.23,0,1.98,0,0,3.65,0,2.89,0,0.59,0,15.94,1.29,0
 96-106,0,0,2.79,8.75,15.01,15.27,0,0,1.43,0.73,0.56,0,0,0,13.6,0,2.95,8.56,0,0,0,6.84,0,8.96,0,16.5,0.96,0
108-118,0,0,1.15,0.79,11.29,36.86,1.62,0.6,1.85,1.1,1.52,0,1.5,7.3,8.55,0,2.53,45.2,0,0,0,7.08,0,0.49,0,8.72,2.52,0
120,0,0,0,0,16.87,26.24,0,0,1.69,0,0,0,0,0,20.51,0,3.54,41.2,0,0,0,0,0,0,0,0,0,0
