stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,29.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0
 10-12,0,12.14,0,0,0,0,0,0,0,21.11,0,0,0,0,0,0,80.32,0,16.92,5.07,3.49,0,0,0
 14-21,0,5.76,12.74,1.27,0,0.82,0,0,5.69,15.04,0,0,1.43,0,0,1.31,7.39,1.08,0,8.82,121.32,0,2.29,0
 24-34,0,3.08,13.72,0,0,0,0,2.78,0.63,5.03,3.92,0.94,3.33,3.73,0,0.83,6.45,0,0,1.04,121.6,0,7.15,0
 36-46,0,0,0.75,0,0,3.06,0,1.28,1.71,0,0,0,0.84,1.93,0,0,10.37,0,0,0,100.97,2.47,1.46,0
 48-58,0,0,2.9,0.43,0,7.32,0,0.86,2.44,0.4,0,0,0,0,0.43,1.15,4.93,0,0,0,32.28,0,2.98,0
 60-70,0,0,0.77,0,0,3.69,0,1.12,1.27,0,0,0,1.25,0,0,0,15.22,0,0,0,21.26,0,0,0
 72-82,0,0,0,0,0,8.19,1.27,1.47,2.82,0,0,0,0.95,0,0,0.69,3.64,1.03,0,0,20.77,0,2.31,0
 84-94,0,0,0,0,0,5.19,0,0,3.77,0,0,6.85,1.24,0,0,0,1.97,0,0,0,50.82,0,0,4.22
 96-106,0,0,0.73,0,1.05,7.5,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,28.59,0,0,0
108-118,0,0,0,0,0,8.74,0,0,4.31,0,0,0,0,0,0,0,7.12,0,0,0,31.22,0,0,0
120,0,4.41,0,0,0,3.23,0,0,4.73,0,0,0,1.85,0,0,0,2.83,0,0,0,13.24,0,0,0
