stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.45,184.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19,0,0,0,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.57,13.59,0,0,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0.88,31.73,3.3,15.07,0,0,0,2.59,0.83,0,2.88,0,1.18,0,0,0,0,12.23,0,0,2.26,37.2,10.37,3.25,8.09,0.81,0,23.18,0,6.53,4.7,25.85,19.23,36.57,0,0,9.85,0,0
 24-34,0,0,0,0,22.24,0.66,17.2,0,3.73,0,5.4,0,0,12.36,3.18,1.46,0,0.6,0,1.24,24.1,0,0,16.69,128.8,10.58,5.37,35.41,0,0,155.79,0,0,5.02,8.15,5.26,44.1,0,0,81.29,0,0.63
 36-46,0,0,0,0,23.01,0.6,42.19,5.18,0,0,17.94,0,0,9.68,0,0,0,3.01,0,7.4,65.5,0,0,17.21,214.26,13.62,2.59,19.96,0,0,221.26,0,0,0,5.84,0.88,75.19,0,0,92.11,0,13.75
 48-58,0,0,0,0,4.42,0,104.27,3.55,3.17,4.11,42.15,0,0,6.19,0,0,0,1.46,6.64,17.4,59.76,0.46,0.91,11.82,366.15,8.29,5.34,15.63,0,0,75.04,0,0,0,0.84,0,77.96,0,0,63.54,0,20.5
 60-70,0,0,0,0,11.32,0,286.52,4.9,3.1,6.2,43.21,0,0,6.86,0,0.62,13.73,5.05,1.34,1.98,99.85,0,0.89,5.41,632.06,12.56,2.37,15.98,0,1.68,71.16,0,0,1.42,4.18,0,116.06,0.92,3.17,70.47,2.76,19.95
 72-82,0,0,4.13,0,9.67,1.75,320.89,0.53,0,0.68,72.25,4.69,0,4.03,1.05,2.85,18.32,3.35,0.8,1.36,163.46,2.13,10.27,4.63,764.44,3.5,2.18,25.27,0,0.72,19.96,1.65,0,0.64,0.57,0,81.92,3.68,5.35,106.25,1.83,6.18
 84-94,0,0,0,0,14.7,0,210.98,0,5.56,2.01,47.33,2.4,0.71,4,0.65,5.04,2.64,3.37,3.45,14.55,73.9,1.51,9.74,12.93,475.02,5.2,9.98,22.98,0,0,59.29,0,0,0,3.73,0,21.7,14.47,3.23,116.96,5.93,4.11
 96-106,0,0,0,0,15.4,12.1,298.59,0,7.77,1.4,78.91,2.28,0,3.33,5.37,1.85,15.85,9.99,0.62,2.43,126.58,10.13,2.44,9.86,443.72,2.51,4.2,33.31,0,2.4,40.89,0,0,0,0.68,0,18.44,11.26,1.21,112.93,0,6.93
108-118,0,0,0,0,22.66,10.01,305.94,0.68,13.87,9.15,65.22,1.38,0,0.52,0.95,1.12,33.92,17.16,1.56,15.64,115.19,8.29,1.48,6.31,515.73,6.08,8.31,28.52,0,0,63.46,0,0,1.38,2.35,0,14.51,18.96,6.97,94.3,6.23,7.17
120,0,0,0,3.17,41.27,0,427.52,20.75,7.68,4.18,159.4,15.16,0,5.38,6.07,0,11.15,18.42,11.05,3.2,183.12,1.46,0,12.73,1020.93,15.19,13.13,40.2,0,23.68,54.41,0,0,0,5.59,0,45.23,11.37,0,82.95,0,0
