stage,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,periderm
 48-58,0,0.75,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.69
 96-106,0.61,8.29,2.5,1.06,1.04,1.06,0,0
108-118,0,0.44,0,0,1.14,0,0,0.83
120,0,0,0,16.58,0,9.24,1.11,2.69
