stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.89,3.85,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,6.43,1.25,0,1.51,0,0,0,0
 24-34,0,0.94,0,0,0,0,0,0,0,0,6.15,0,7.97,0,0,0,0.81,0,8.02,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,4.64,0,0,2.08,2.07,0,0,0,0.88,6.62,0,0,0,0,12.47,0,0,22.29,0.74,0,0.6,0.91,0,0.88,3.73,0,0,0,0
 48-58,0,10.77,0,0,0,0.47,0,0.38,0,0,20.05,0,0.38,0,0,1.17,0,0.91,20.01,0,1.31,0,0,0,0,0.78,0,0.56,0,1.87
 60-70,0,4.16,0,14.4,2.42,0,0,0,2.4,0,9.69,0,2.61,0,0,5.77,2.87,0,25.42,0,1.27,0,0,0,0.76,0,0,0.7,0,0
 72-82,0,9.5,1.24,7.06,0,0,0,2.58,0,0,19.73,0,2.87,0,1.45,12.5,0,0,17.36,0,0.58,0,2.74,0,2.96,1.8,0,0,0,0
 84-94,0,7.79,0,10.07,1.48,1.19,1.87,6.34,0,0,56.14,0,0.66,0,0,12.63,3.63,0,20.58,0,0,1.56,5.82,0,2.1,0,1.5,0.85,0,0
 96-106,0,20.6,0,16.25,3.57,2.83,7.42,11.93,0,0,68.73,0.63,0,0,0,14.33,13.09,0,11.77,0,2.36,0,4.62,0,3.25,0,0,0.7,0,0
108-118,0.93,15.41,0,16.69,6.2,2.59,3.69,7.87,0,0,46.5,1.58,0,0.42,7.11,24.68,4.08,0,16.76,0,0.55,0,7.79,0,4.34,0,0,4.21,0,0
120,0,22.07,0,12.76,3.33,8.12,0,9.86,0,0,109.1,2.21,11.09,0,0,23.73,16.56,3.01,21.02,0,3.09,0,4.95,0,6.26,0,0,1.72,3.15,0
