stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,4.88,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,0,0,0,0,0,0,0,0
 14-21,0,0,1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,1.37,7.62,0,1.97,0,0,0,4.85,16.86,2.4,205.2,0,0,0,0,0
 24-34,0,0,34.71,0,0,0,2.47,0,0,1.4,0,0.61,0,0,0.63,0,1.99,11.35,29.19,0,0,12.58,103.46,0,26.35,0,0,0,0.94,1.22,0.92,355.37,0,0,0,0,0
 36-46,0,0,58.95,0,0,1.41,3.18,0.79,0,14.42,1.12,0,1.51,0,0,0,1.7,0.93,59.79,0,0,7.11,133.5,0,0.83,0,0,0,0,0,0,275.94,0,0,0,0,0
 48-58,0,0,44.48,0,0,8.75,14.6,0,1.31,14.43,0.83,0,0,0,0,0,0.97,2.45,125.5,1.33,1.96,5.59,102.9,0.63,2.08,0,0,3.9,0,0,0,94.3,0,0.49,0,0,4.07
 60-70,0.91,0,20.67,0,0,11.79,2.87,0,0,30.17,0.58,0,0,0,4.4,4.03,0,1.2,252.88,0,5.57,5.8,118.74,0,1.9,0,0,4.63,0.68,0,0,104.44,0,0.8,0,0,0
 72-82,0,0,27.17,0,0,45.78,4.22,2.98,3.07,64.65,0.64,0,0,0,0,3.39,0,0,408.26,0,20.52,14.28,129.22,0,8.12,0,0.77,20.05,0,0,0,39.79,0,7.77,0,5.13,0
 84-94,0,2.2,18.83,0,0,55.46,11.41,0,0,22.84,4.8,0,0,0,0,1.72,0,0,369.2,0,10.17,11.26,74.5,0,12.85,0,0,10.72,0,0.78,0,9.13,0,8.67,0,7.95,0
 96-106,1.11,0.65,35.82,9.93,9.96,38.07,4.49,0,0,25.27,1.28,0,0,1.81,0,0,1.29,0,322.32,0,3.07,19.55,132.22,1.64,24.18,0,0,53.51,0.75,0,0,6.96,2.22,0,2.1,20.74,9.11
108-118,0,1.48,31.82,2.57,0,56.98,5.97,0.48,1.04,55.45,2.87,0,5.79,0,0,2.46,3.37,0,391.16,0,16.05,11.34,136.39,0,32.9,0,0,45.02,0,0,0,0,0.46,6.73,2.98,8.05,0
120,0,10.48,31.28,0,0,93.82,5.39,0,0,50.35,1.61,0,0,0,0,0,0,1.14,343.2,0,15.02,5.12,94.39,0,25.62,0,0,28.6,14.26,0,0,8.19,0,2.15,10.91,6.07,0
