stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.03,0,0,7.08,0,0,0,0,0,0,0,0
 10-12,0,12.76,0,0,6.65,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,66.4,0,0,31.94,0,0,0,0,0,0,0,0
 14-21,0,0,1.82,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,16.58,0,0,0,2.1,0.9,1.14,5,0,0,0,0
 24-34,0,0,4.8,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0.91,31.04,2.76,1.36,0,2.13,0,0,3.55,0,4.75,0,0
 36-46,0,0,0,0,2.24,0,0,0,0.68,0,0,0,0,0,0,0.74,0,5.5,0,0,0.6,48.63,2.6,0,0,0,0,0,7.83,1.37,0,0,0
 48-58,0,0,0.78,0,5.88,0,0,0,2.31,0,0,0,0.42,0,0,0,0,7.58,0,0,0.72,22.5,1.11,0,0,0,0,0,3.72,0,2.23,0,0
 60-70,0,0,0.57,0,13.79,0,0,0,0.78,0,0,0,0,0,0,0,0,19.1,0,2.79,2.46,20.48,0,0,0,1.69,0,0,2.77,0.9,6.32,1.47,0
 72-82,0,0,4.44,9.8,3.42,0,0,0,5.51,0,0,1.66,0,0.7,0,0,0,5.24,0,0,0,8.26,0,0,0,8.32,0,0,1.62,0,3.37,0,0
 84-94,0,0,4.93,0,6.75,0,0,0,3.15,1.22,0,0,2.52,0,0,1.52,0,4.98,0,0,0,8.71,0,0,0,6.46,0,0,0,0,4.41,0,0
 96-106,0,0,2.47,1.39,11.49,0.64,0,3.11,8.22,0,0,0,9.59,0,2.85,0,0,6.86,0,0,0,7.35,0,0,0,6.9,0,0,0,0,5.49,3.11,0.91
108-118,0,0,2.47,0,0,1.15,0,0,5.06,0.58,0,0,2.37,0,0,0.97,2.23,10.5,1.75,0,1.15,3.95,0,0,0,1.44,0,0,0,0,2.26,0.74,2.14
120,0,0,13.29,2.1,3.58,0,1.16,0,0,0,0,0,6.22,0,0,0,0,11.28,0,0,0,14.44,0,0,0,2.32,0,0,0,0,0,0,2.34
