stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,27.34,91.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,17.79,134.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.31,0,0,34.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.62,0,0,0,24.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.85,0,13.15,0,0,21.66,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,129.14,14.25,0,0,24.67,0,14.8,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,1.03,5.62,0.8,4.16,0,0,32.2,0,0,0,0,0.89,0,0,0,0,1.63,0,0,0.88,53.87,0,3.38,11.42,3.38,0,0.91,0.85,15.87,0.92,86.71,0,0,0,0
 24-34,0,0,0.75,0,0.87,0,3.36,0,0,59.33,0,0,0,0,0,3.74,1.56,0,0,1.44,0,0,0,40.97,0.61,15.84,2.91,0,1.43,0,0,21.31,1.9,89.92,0,0,0,0
 36-46,0,0,0,0,1.48,0,3.87,0.69,4.79,29.16,0,0,0.93,11.5,0,0,0,0,0,0,0.59,0,0,59.28,0,37.68,1.74,0,0,0,0,1.94,0,62.27,0,0,0,0
 48-58,0,0,0,0,0,0,5.31,0,0.4,23.84,0.92,0,0,0,0,0,0.89,0,0.54,3.19,0,0,1.01,39.09,0,13.89,0,0,1.94,0,0,7.33,0,48.36,0,0,0,0.56
 60-70,0,0,0,0,2.17,0,16.75,0,0,17.33,0,0,0,0.61,0,0,0.77,0,0,0,1.53,0,0.82,26.7,0,32.62,8.22,0,0,0,0,1.12,0,15.81,0,0,0,0
 72-82,0,0,0,0,0,0,7.79,0,0,15.8,0.73,0,0,0,0,0,0,0,0,6.64,0,0,1.15,17.31,0,36.65,12.57,0,0,0,0,0.86,0,19.07,0,0,0,0
 84-94,0,0,0,0,1.62,0,16.59,0,0,13.98,1.64,0,0,0,0,0,1.78,0,0,1.53,0,1.85,0,19.64,0,17.78,20.19,0,0,0,0,4.55,0,13.11,1.17,0,0,0
 96-106,0,0,0,0,1.69,0,3.34,0,0,13.04,1.98,0,0,0,0,0,6.23,0.59,0,9.09,0,0,4.78,18.15,0,58.71,19.09,0,0,0,0,0,0,3.74,0,0,1.58,0
108-118,0,0,0,0,3.23,0,8.73,0.97,1.02,21.58,0.47,0,0,1.27,0,0,4.64,0,0,11.73,0,0,1.32,24.81,0,41.72,22.74,0,2.48,0,0,4.57,0,6.11,0.67,0,2.89,1.8
120,0,0,3.73,0,3.48,0,13.9,0,0,0,0,0,0,0,0,0,6.6,0,0,3.3,0,0,0,25.19,0,26.9,25.04,0,0,0,0,15.82,0,11.05,0,1.52,3.73,0
