stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,10.35,0,0,0,0,0,0,0
 14-21,0,2.95,0.96,0,0,0,0,2,0,0,0,0.83,0,0,6.74,0,0,1.11,0,0.82,4.34,0,0,0,0
 24-34,0,0,4.63,0,1.29,0,0,0.67,0,0,0,0,0,0.91,40.7,0,0,0,1.4,0.68,4.8,0,0,0,0
 36-46,0,0,6.22,0,1.06,1.26,2.38,0,0,0,0,2.89,0,0.65,53.41,1.09,0,0,1.97,0,8.45,0,0,0,0
 48-58,0,1.85,1.14,0,0,0.64,4.19,0,0,0,0,2.62,0,0.61,26.7,0,0,0,0,0,11.14,0,0,0,0
 60-70,0,0.61,33.03,0,0,2.23,3.8,0,0,0,0,6.69,1.04,0,49.78,0,1.23,0,0,0,0,0,0,0,0
 72-82,0,3.24,9.87,0,0.92,0,4.15,0,0,0,0,5.18,0,0,30.88,0,0,0,0,0,0,1.58,1.64,0,0
 84-94,0,0,20.34,0,0,0,0,0,1.02,0,0,0,0,0,6.51,0,0,0,0.64,0,0,0,0,0,0
 96-106,0,0,9.4,0,0,0,0.91,0,0,0,0,4.34,0,0,13.22,0,0,0,1.82,0,1.71,0,0,0,0.75
108-118,0,0,5.09,8.24,0,0,1.81,0,0,1.16,0.42,3.03,0,0.68,4.85,0,0,0,0,0,0,0,0,2.47,0
120,0,2.29,5.79,0,0,1.98,5.66,1.21,0,0,0,7,0,0,72.43,0,0,0,0,0,0,0,0,0,0
