stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.67,143.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,151.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.96,0,0,44.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92,0,0,91.44,0,0,4.5,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,8.14,0,0,0,5.02,26.28,0,18.18,0,2.72,0,1.34,125.88,92.39,0,0,0
 24-34,0,0,0,0,0,19.24,0,0,145.15,8.88,0,0,0,0,0,0,10.53,0,0,180.42,64.65,100.77,0,0,6.51,0,2.15,27.52,550.2,732.98,0,0.69,0
 36-46,0,0,0,5.42,0.76,7.28,0,8.21,367.43,20.22,0,0.95,1.03,0,0,0,17.78,0,0,256.87,47.96,6.23,0,0,0.65,0,0,75.23,3.09,654.46,0,2.04,0
 48-58,0,0,0,0,0.75,3.37,0,53.98,430.57,9.68,0.85,0,0,0,15.72,0,95.32,0,0,102.35,35.04,6.4,0,0,0,0,0,38.77,0,742.44,0,0,0
 60-70,0,0,0,0,0,21.89,3.05,60.41,257.55,8.12,13.99,0,0,0,0,0,138.87,0,0,54.9,63.35,0,0,0,0.84,0,0,12.95,0,690.45,0,0,10.36
 72-82,0,0,0,0,0,22.36,0,0,328.82,68.17,21.48,0,5.89,0,0,0,67.91,0,1.19,88.13,116.81,0.81,0,0,0,0,0,3.53,0,1002.68,0,0.64,0
 84-94,0,0,0,0.74,0,65.85,0,0,318.54,52.24,83.94,0,0,7.18,0,0,173.13,0,0,56.28,176.14,0,0.84,0,0,0,0.67,6.29,0,874.41,1.01,0,0
 96-106,0,0,1.07,1.21,1.12,12.7,1.35,0.69,276.93,37.41,86.88,0,0,0,7.38,3.17,109.84,5.3,0,24.87,101.43,1.07,1.23,0,0,0,0,2.56,0,436.71,0,0,0
108-118,0,0,0,3.8,0.46,13.78,1.26,0,210.88,31.05,95.37,0,0,0,0,0,170.29,0,1.27,37.21,295.06,0,0,0,0,0,0,0.98,0,357.16,1.63,0,0
120,0,0,0,0,0,15.62,0,0,257.81,26.87,40.17,0,1.18,0,9.08,0,161.5,0,0,24.01,37.04,0,0,0,0,0,0,0,0,104.09,0,0,0
