stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,16.15,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,8.05,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,6.67,0,0,0
 14-21,14.75,0,0,0,0,5.14,0,0,0,0,0,0,0,0,23.75,0,0,0,0,6.17,5.76,0,0
 24-34,0.77,0,1.56,0,0,0,0,0,0,0,0,0,0,1.1,44.93,5.32,2.99,3.22,0,13.03,10.02,0,0
 36-46,1.39,0,7.88,0,0.6,1.71,0,0,0,0,4.82,1.78,0,0,37.35,0,1.06,0,0,6.02,5.26,0,2.21
 48-58,2.32,0,12.8,2.46,0,2.23,0,3.66,0,0,1.93,0,0.4,0,57.17,0,3.66,0,0,9.83,13.05,0,0.52
 60-70,0,0,8.87,0,0,2.46,0,0,0.79,2.3,2.19,0,0.63,0.6,50.72,2.55,0.89,0,0,4.96,6.98,0,0
 72-82,1.86,0,19.12,0,0,5.81,0,0,0,1.24,3.18,0,1.98,0,43.56,0.72,1.07,0,0,3.94,1.76,0,0
 84-94,0.57,1.73,33.78,0,0,0,0,1.16,0,0,2.02,0,10.23,0,19.56,0,4.36,0,0,12.36,1.33,2.5,2.14
 96-106,0.86,0,8.23,0.71,0,1.95,0,0,0,0,0,0.83,0,0,31.86,0,0.57,0,0,18.6,0.86,0.88,0
108-118,0.44,0,11.6,0.48,0,0,2.27,0.55,0,0,0.56,0,0,0,22.34,0,0,0,0,9.56,0,0.44,0
120,0,1.72,16.35,1.75,0,0,0,0,0,0,0,0,0,0,45.78,0,0,0,0,19.93,0,0,0
