stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.45,267.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,4.44,5.41,0,0,0,31.71,0,0,0,0,29.13,0,0,0,0,0,0,0,0,0,0,0,188.99,10.43,0,0,71.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.78,10.72,0,0,0,27.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.01,19.76,0,0,28.35,0,0,0,5.88,0,0,0,0,0,0
 14-21,0,0,0,12.42,1.68,0,11.57,0,0,0,4.02,0,0,0.91,0,0,0,0,0,5.62,0,0,3.55,36.59,0,0,0,1.82,0,0,7.36,0,6.84,11.8,0,1.55,0,0
 24-34,0,0,0,2.68,0,0,5,0,0,0,0,0,0,0.8,0,0,0,0,0.61,2.23,0,0,2.85,48.74,0,1.13,0,0,0,0,0,0.69,0,6.54,0,0,0,0
 36-46,0,0,0,0,0,0,13.9,0,0,0.77,0,0,0,3.68,0,0,0,0.77,0,2.55,0,0,0.6,35.01,0,0,0.82,0,7.79,0.65,0,0,0,7.39,0,0,0,0
 48-58,0,0,0,3.27,0,0,13.57,0,0,6.48,0,0,0,14.76,0,0,0,0,5.52,4.82,0,0,1.13,32.11,0,0,0,0,0,0,0,0.46,0,4.49,0,2.18,0,0
 60-70,0,0,0,2.61,0,0,26.59,0,0,1.84,0,0,0,40.12,0.67,0,0,0,3.37,4.89,0,0,0,60.12,0,0,0,0,6.68,0,0,1.72,0,13.27,0,0,0,1.82
 72-82,0,0,0,0.66,1.4,1.04,14.23,0,0,6.33,0,0,0,32.25,0,0,0,0,0,13.7,0,1.07,0,54.28,0,0,0,0,0,0,0,0,0,19.05,3.65,0.94,0,0
 84-94,0,0,0,3.37,4.86,0,11.91,5.9,0,1.06,0,0,0.6,60.41,0,0,0,0,2.67,20.23,0,0,3.53,34.79,0,0,1.16,0,4.25,0,0,1.17,0,1.57,0,0,0,0
 96-106,0,0,0,6.48,2.23,0,20.08,0.71,0,4.5,0,0,1.02,57.63,0,0,1.03,0,2.39,2.87,1.41,1.43,4.71,48.86,0,0,1.77,0,7.49,0,0,0.61,0,1.3,0,1.81,0,0
108-118,0,0,0.74,7.3,0,0,32.79,0.5,4.07,5.22,0.48,0,0,52.82,0,0.82,0,0,2.33,24.4,0,0,6.93,37.14,4.82,0.47,0.57,0,11.92,0,0,1.36,0,1.12,0,0.58,0.49,1.57
120,0,0,0,9.39,1.31,0,1.76,0,0,26.67,1.38,0,6.72,88.7,5.59,0,0,0,11.42,50.32,6.27,3.46,4.63,48.53,0,0,5.36,0,7.18,0,0,1.21,0,11.84,0,0,0,3.14
