stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,168.66,3470.23,0,0,0,0,0,0,0,0,0,0,0,0,111.39,0,0,0,0,0
  5-6,204.36,2381.24,0,0,0,0,0,36.1,0,0,0,74.83,0,22.07,32.57,0,0,0,0,0
  7-9,16.82,75.19,20.96,0,0,65.51,0,18.44,0,0,0,874.65,14.54,291.44,0,24.22,0,0,0,0
 10-12,0,11.69,0,0,6.22,36.85,0,0,0,0,0,107.5,0,53.3,0,9.4,0,8.5,3.24,0
 14-21,0,0,0,0,1.66,1.21,0.85,0,0,1.23,0.98,28.17,0,0,0,0.9,7.24,0,0,7.61
 24-34,0,0,0,0.69,0,0.81,0,0,3.58,2.52,0.8,0,0.69,0,2,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.72,0.9,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0
