stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,15.45,0,0,0,6.95,0,0
 14-21,0.83,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,1.7
 24-34,1.05,0,0.74,0,0,0.8,0,0,0,0,47.74,0.85,1.08,0.64,0,0,11.59
 36-46,0.84,0,3.06,0,1.72,0,0,0,1.4,0,41.3,0,6.28,0,0,0,16.32
 48-58,12.22,0.41,12.53,0,7.42,0,0.74,0,1.02,0.53,19.06,0,1.35,4.04,0,0,5.89
 60-70,0.57,0,4.53,0,4.51,0.65,0,0,1.52,0,20.66,0,4.01,0,0,0,2.47
 72-82,0,0,6.49,0,2.61,0,0,0.64,3.96,0,17.19,0,1.69,0,0,0,0
 84-94,1.33,0,9.28,0,4.95,0,0,0,0,0,15.27,0,7,0,0,0,0
 96-106,4.88,2.08,17.3,0,5.6,1.53,0,0,1.45,0,7.9,0,3.38,0.77,0,2.55,1.95
108-118,1.92,0,6.77,0.42,14.62,0,0,0,11.49,0,7.43,0,3.07,0,0,0,0
120,1.79,0,8.09,0,0,0,0,0,0,0,19.55,0,8.23,0,0,0,0
