stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,10.58,871.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.96,0,0,0,0,0,0
  5-6,28.86,652.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55,0,0,0,7.5,16.71,0,0,0,0,0,0
  7-9,4.49,44.17,35.06,0,0,39.35,0,0,0,10.04,0,0,0,0,0,0,0,0,458.14,27.6,0,0,93.52,0,0,0,0,0,0,0
 10-12,0,4.29,38.31,0,0,17.43,0,0,0,3.03,0,0,0,0,0,0,0,0,370.12,12.15,0,0,102.93,0,0,31.32,0,0,0,0
 14-21,0,0,0.81,0.83,0.99,1.43,0,0,0,0,0,0,0,0,0,0,2.79,0,44.2,0,1.37,0,1.33,0,3.9,0,0,2.28,2.05,0
 24-34,0,0,0,0.74,0,3.9,0,0.63,2.35,0,0,0,0,0,0,0,1.74,0.71,41.81,0,0.77,0.86,0,1.49,0,0,0,0,18.13,0
 36-46,0,0,0,0,0,12.25,0,0,3.38,0,0,0,0,0,0,0,3.64,1.15,54.55,0,0,0,0,1.43,0,0,0,0,9.7,0
 48-58,0,0,0,0.55,0,16.97,0,0,6.05,0,0,0,0,0.39,0,0.39,29.34,7.8,79.63,0,0,0,0,0,0,0,0,0,10.46,0
 60-70,0,0,0,0,0,4.94,0,0,2.58,0,0,0,0,0,0,0,0,0,45.03,0,0.6,0,0,0,0,0,0,0,10.06,0
 72-82,0,0,0,0.71,0.72,13.96,6.38,0,1.11,0,0,0,0,0,2.21,0,3.88,0,34.96,0,0,0,0,0,0,0,0,0,0.92,1.25
 84-94,0,0,0,1.38,0,12.42,0,0,2.16,0,0,0,0.68,0,0,0,13.1,1.08,32.25,0,0,0,0,1.13,0,3.64,0,0,8.72,0.8
 96-106,0,0,0,2.1,0,26.07,0,0,0.8,0,0,0.58,0.86,0,0,0,1.91,0.81,11.74,0,0,0,0,0,0,0,0,0,1.35,0
108-118,0,0,0,0,0,10.88,1.55,0.74,5.01,0,0,0,0,0,0,0,7.76,0.76,42.57,0,0,0,0,0,0,0,0.56,0,0,0
120,0,0,0,0,0,0,0,6.63,0,0,5.85,0,0,2.88,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0
