stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,0,6.41,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0
  7-9,3.68,4.72,0,0,4.5,0,0,0,0,0,0,0,0,28.21,3.22,0,0,0,0,0
 10-12,0,0,0,0,3.97,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0
 14-21,0,0,2.22,0,0.85,0,0,0,0,0,0,0,0,2.89,0,0,2.19,0,0,0
 24-34,0,0,1.4,0,0,0,0,0,0,0,0.68,1.78,0,6.73,0,1.31,2.76,0,0,0
 36-46,0,0,0.84,0,0,0,0,0,0,0,0,0,0.6,22.25,0.63,11.54,0.86,0,0,0
 48-58,0,0,0,0,1.76,0,0,0,0,6.38,0,4.14,0.67,31.47,0,4.15,0.84,0,0,0
 60-70,0,0,0,0,7.1,0,0,0,0,0,0,7.92,0,25.54,0,0,0,0,0,0
 72-82,0,0,0,0,6.5,0,1.76,0,0,0,0,2.7,0,17.74,0,0,0,0,0.56,0.91
 84-94,0,0,0,0,3.22,0,0,0.6,0,0,0,0.8,0,0.65,0,0.73,0.77,0,0,0
 96-106,0,0,0,0,2.23,0,0,0,0,0,0,4.18,0,9.2,0,1.07,0,0,0,0
108-118,0,0,0.74,0,0,1.54,0,0,0.6,0,0,0.44,0.44,7.56,1.51,2.32,0,0.44,0,0.87
120,0,0,1.76,2.32,4.21,0,0,4.78,2.71,0,0,2.93,0,6.45,2.8,4.84,0,0,0,0
