stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,84.39,0,0,61.4,0,0,0,0,0,0,0,0
 10-12,0,0,28,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,43.89,19.87,0,0,176.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.94,15.07,1,0,19.91,0,0,7.48,2.27,8.61,0,0,0
 24-34,0,0,0,0.91,0,0,0,0,0,2.6,0,0,0.68,0,0.61,0,0,0.69,8.14,0,0,0,0,0,0,7.29,7.85,0,0,0
 36-46,0,0,0,0,0,0.72,0,0,0,2.1,0,0,0,0,0,0,0,16.99,1.44,0,0,0,0,0,0,0,6.97,0,0,0
 48-58,0,0,0,0.97,0,0.45,0,7.59,0,2.81,0.38,2.55,0,0,2.21,0,0,5.24,3.2,0,0,0,0,0,0,0,1.8,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,10.18,2.57,0,3.32,2.33,0,0,0,1.65,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,2.13,0,0,2.27,4.85,0,0,0,0,17.81,0,0,3.03,11.48,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,14.02,0,0,1.06,0,24.47,0,4.8,1.68,7.7,0,0,0,0,1.26,0,0,0,0,0,0
 96-106,0,0,0,1.23,0,0.82,3.09,0,2.28,2.55,0,0,0,0,26.91,0.78,0,2.15,14.43,0,0,0,0,0,0,0,0,0,1.28,0
108-118,0,0,0,7.14,0.44,0,0,0,1.09,3.07,0.6,0,2.89,2.07,50.18,0,2.29,3.05,30.19,0,0.55,0,0,0,0,0,0,0.66,0.45,0
120,0,0,0,0,0,0,0,0,9.69,8.18,0,0,0,0,42.14,0,0,8.07,143.34,0,0,0,0,0,0,0,0,2.12,0,1.99
