stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,84.33,1702.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.91,0,0,0,0,0,0,0,0,0
  5-6,116.63,2082.13,0,10.26,0,0,0,0,0,0,0,59.43,0,0,0,0,0,0,0,0,0,0,0,77.58,7.94,0,0,35.08,42.34,0,0,0,0,0,0,0,0,0
  7-9,267.24,73.4,0,224,0,0,349.18,0,0,0,0,251.17,0,0,0,0,0,0,0,0,0,0,0,3532.22,253.14,0,0,1169.49,5.09,0,0,0,0,0,0,0,0,0
 10-12,4.89,77.07,0,170.52,0,24.39,246.25,0,0,0,0,185.03,0,0,0,0,0,0,0,0,0,0,0,2535.7,525.73,0,0,1324.3,0,0,152.24,0,11,13,0,0,0,0
 14-21,0,0,2.73,0.84,4.9,0.99,3.61,0,0,3.03,1.05,0,0,0,0,0,0,0,0,1.77,0,0,0.88,72,5.62,1.02,1.99,0,0,2.96,0,3.1,6.58,47.24,0,0,2.18,0
 24-34,0,0,0.8,0,0.68,0,9.34,0.85,0,6.59,0,1.4,0,0,0,0,0,0,0,14.48,0,0,4.08,161.67,11.5,1.67,1.57,0,1.7,0,0.85,0,1.56,92.34,0,0,3.74,0
 36-46,0,0,0,0,3.37,0.81,26.39,0,0,17.3,0,0,1.28,0,0,0,0,2.39,1.44,33.31,2,0,8.28,331.29,8.91,0.87,13.52,0,2.85,0,0,0,0,168.07,0,0,10.33,0
 48-58,0,0,0,0,0.38,0,61.68,0,1.74,41.38,0,0,0,1.75,0.38,0,0,0,0,26.7,0,0,7.4,196.43,1.49,0.95,0.74,0,1.87,0,0,0,0,82.3,0,0,8.67,0
 60-70,0,0,1.23,0,2.28,0,188.44,0,1.58,79.21,0.65,0,0,0.65,0,8.1,0,0,0,56.39,0,3.96,3.87,293.64,0,0,1.91,0,0,0,0,0,0,62.5,0,0,9.04,2.04
 72-82,0,0,0,0,0,0,55.39,0,3.7,43.61,0,0,0,1.97,0,0,0.72,0,0,25.4,0,0,5.94,105.8,0,2.24,2.11,0,1.2,0,0,0,0,14.55,0,1.91,7.75,0
 84-94,0,0,0,0,3.33,0,63.37,0,0,46.46,0,0,1.31,0.57,0,0,0,0,0,27.82,0,0,4.51,149.82,2.03,2.36,2.07,0,0.66,0,0,0,0,37.91,1.01,0.88,0,0
 96-106,0,0,0,0,0.64,0,41.2,0,1.66,37.27,0,0,0,0.56,0,0,0,0,0,13.19,0,0,1.92,67.38,0.62,0,0.6,0,2.82,0,0.78,0,0,4.95,0,0.9,0.87,0.79
108-118,0,0,2.13,0,1.03,0,7.04,0,1.54,18.01,0,0,0,0,0,0,0,0.43,0,3.47,0,0,3.5,40.97,0.57,0,0,0,0,0,0.76,0,0,1.79,0,0,3.07,0
120,0,0,3.99,0,0,0,25.08,0,0,49.37,0,0,0,0,0,0,0,0,0,14.35,0,0,2.52,39.62,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0
