stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.64,322.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.09,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.93,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.82,0,0,0,16.2,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,174.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.02,3.39,0,0,13.98,0,0,9.89,0,31.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,204.44,479.14,60.47,0,20.02,0,0,0,0,91.53,5.57,0,2.49,0,0.93,0,0,49.77,2.54,0,53.86,123.61,41.36,0,3.4,0,0,16.86,1.12,6.72,95.01,202.76,383.33,41.23,0,0,8.26,0,0
 24-34,0.88,0,0.8,76.48,136.11,0.8,0,34.53,17.77,2.78,3.23,2.4,37.85,9.43,0,2.48,1.89,2.05,10.56,0,138.69,0,1.58,148.69,637.4,96.77,35.84,2.86,0,6.63,15.74,0,0,51.14,85.63,322.18,178.77,0,0,49.05,0,0
 36-46,0,0,0,3.67,73.61,5.85,0,60.98,38.29,0.8,21.12,5.83,13.8,3.82,0,0,3.32,7.98,9.79,11.12,163.22,0.56,34.1,59.51,1236.11,89.72,87.45,3.46,14.18,8.6,28.2,0,0,66.75,44.73,6.54,233.83,0,1.37,31.49,0,0
 48-58,0,0,0,5.65,81.41,0,0,342.03,30.19,10.59,35.98,36.49,11.54,10.92,0.38,0,8.86,5.69,7.79,2.59,179.25,0,13.24,62.28,2062.69,70.96,45.7,7.24,0,5.82,24,0,0,33.98,7.61,0,249.8,0,0.85,19.46,0,6.53
 60-70,0,0,0,0,74.02,1.4,0,1509.34,53.53,17.36,26.02,59.1,8.68,3.68,4.08,1.23,44.52,5.25,7.99,2.31,192.93,0,26.47,53.81,2603.72,37.11,54.66,3.92,0,5.08,14.26,0,0,46.36,6.82,0,336.17,1.44,3.33,20.3,9.11,15.24
 72-82,0,0,4.02,0.79,94.65,1.85,0,1405.56,34.34,15.44,38.57,131.7,6.53,12.73,6.58,1.25,32.69,9.23,1.56,8.9,260.4,1.32,38.05,39.16,2043.81,4.69,73.11,16.72,0,14.61,24.28,0,0,43.73,1.56,0,187.96,3.83,18.48,72.84,27.53,4.42
 84-94,0,0,0,1.29,157.96,0,0,1064.26,63.09,18.7,32.81,117.55,11.75,8.73,1.47,0.65,26.36,10,2.85,0,294.86,0.78,61.63,39.75,1242.87,13.49,57.17,12.97,0,5.03,55.73,1.4,0,108.61,2.56,0,127.81,5.52,4.47,47.86,37.56,0
 96-106,0,0,2.36,2.62,256.39,1.58,0,916.91,36.5,23.49,27.88,177.88,6.96,5.61,4.99,5.12,19.66,13.44,4.84,5.33,205.91,5.64,21.35,37.12,936.51,1.23,94.91,12.52,0,28.16,54.3,0,0,78.37,9.87,0,46.56,4.98,15.93,72.68,47.69,7.31
108-118,0,0,1.33,1.67,262.62,6.89,8.56,742.44,30.25,44.34,38.65,132.07,10.19,3.23,4.55,5.62,22.92,3.34,7.29,0,259.56,2.16,29.28,61.17,1191.87,2.47,84.47,20.11,0,45.39,61.35,0,0,92.75,2.05,0,31.74,6.01,16.83,78.67,18.86,0
120,2.82,0,4.31,0,262.62,16.83,0,717.49,38.65,50.3,40.13,272.59,4.84,0,12.33,10.71,30.96,7.76,4.47,0,223.56,3.79,33.13,55.87,2017.44,3.99,90.53,3.59,0,66.37,44.54,0,0,62.57,0,0,42.1,11.08,20.58,145.75,16.92,0
