stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,10.58,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.54,0,0,0,3.74,0,0,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,0,0,0,0,29.53,0,0,0,20.87,0,2.29,0,0,0,0,0,2.9,0,0,0,0,0
 24-34,5.12,0,0,1.07,0,0,0,3.64,0,0,581.85,0,0,0,11.16,0,17.75,0,2.14,0,0,0,0,1.59,4.02,0,0,0
 36-46,8.68,0,0,4.51,0,0,0,0,0,0,455.4,0,0,0,12.67,0,10.33,0,0,2.33,0,0,14.72,0,1.2,0,0,0
 48-58,0,0,0,8.14,0,0,0,0,0,0,346,0,0,0,24.16,0.63,12.55,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,17.75,0,0,61,0,0,0,7.96,0,2.52,241.01,0,0,0,0,0,12.52,0,0,0,0,1.13,0,0,4.64,0,0,0
 72-82,29.46,1.73,0,41.97,1.95,0,0,2.55,0,0,413.37,0,0,0.91,2.63,0,22.14,0,0,0,0,0,2.01,1.24,0,0.53,0,0
 84-94,44.43,0,0,34.35,0,5.21,0,8.18,1.87,0,631.23,1.24,0,0.99,27.42,0,0,0,5.14,0,0,0,13.17,0,0,2.52,1.25,0
 96-106,182.09,4.56,3.86,25.31,0,8.81,0.75,0,3.28,6.6,953.75,20.51,0,14.65,5.24,0,5.06,3.08,22.07,0,0,0,2.52,0,2.76,0,2.51,0
108-118,71.44,0,0,14.38,0,3.46,0,8.68,0,10.53,1343.38,12.51,0,0.66,32.14,0,17.08,0,18.17,4,0,0,0.52,0,0,0,0,2.72
120,78.82,0,2.35,26.04,0,56.1,0,0,0,0,715.85,7.87,11.85,17.2,0,0,11.46,0,21.22,0,0,0,0,0,0,0,0,0
