stage,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature
 14-21,0,0.83,0,0,0,0,0,0,0,4.4,0.83,0,1.85,5.21,0
 24-34,0,3.04,0.99,0,0,0,0,0,0,8.55,0,0,0,1.41,0.63
 36-46,0,0,0,2.26,0,0,0.65,0,1.82,3.92,0,0,0,5.79,0
 48-58,0.39,4.7,0.39,0,0,0,0,0,0,5.47,0,0,0,0,0
 60-70,0,6.8,0.6,0,0,0,8.59,0,0,5.33,0,0,0,0,0
 72-82,0,5.2,0.59,0,0.64,0,0,0,0,9.86,0,0,0,3.87,0
 84-94,0,9.32,0,0,0,0,0,0,0,3.54,0,1.2,0,0,0
 96-106,0,7.85,0.76,0,0,0,0,0,0,2.62,0,0,0,0,0
108-118,0,17.97,0.56,0,0.66,0.6,0,0,1.07,3.06,0,1.24,0,0,0.55
120,1.33,1.26,0,0,1.09,0,0,2.35,3.33,22.65,0,0,0,0,0
