stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0.98,0,0,0,0,0,0
 24-34,0,0.8,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0.95,0,0,1.31,4.34,0,0,3.82,0,0,0,0,0,0,4.27,0
 36-46,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,6.49,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,1.29,0,0,1.93,0,0,1.73,0,0,0,0,0,0,20.11,4.86,0,0,0,0,0,0,0.56,0,0,0,1.65,0,0,0,0
 60-70,0,0,0,0,2.9,0,0,2.36,0,0,0,0,0,0,49.17,7.19,1.75,0,0,2.61,0,0,0,2,0,0,0,0,0,0,0
 72-82,0,1.34,2.52,0,20.17,0,0,0,0,1.02,0,0,0,0,220.11,5.13,4.06,4.5,0,20.04,0,0,0,0,0,0,0,0,0,1.58,0
 84-94,0,0,0,0,0.65,0,0,0.65,0,0,0.73,0,0,0.67,497.68,2.36,7.91,0.84,0,36.64,0,5.53,0,0.91,0,0.67,0,0,0,0,6.37
 96-106,0,5.83,16.23,0,71.21,0,0,15.69,2.19,0,0,0,1.25,0,1319.11,2.16,4.22,0,0,122.59,0,1.94,2.63,13.34,0,0,0,0,0,0,0
108-118,0.92,6.72,5.66,1.86,42.41,0.45,0.56,10.13,6.12,0,0,1.08,0,0,2714.68,0,11.18,1.54,4.27,184.79,0.46,1.7,5.09,3.49,0,1.1,7.89,0.67,0,3.39,12.37
120,0,7.14,0,0,22.27,0,0,7.33,2.28,0,0,0,0,2.98,1589.15,0,10.89,0,0,145.89,0,0,0,2.1,0,0,2.96,0,1.32,2.64,0
