stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,28.56,218.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,14.95,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,3.37,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,22.11,0,0,0,0,0
 14-21,0,0,0,2.94,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.86,0,2.02,3.2,0,0,0,0,40.66,0,0,0
 24-34,0,0,0,0,0,0,1.25,0,0,0,1.74,0,0,1.04,0,0,0,0,0.7,0,0.69,269.78,0,13.85,20.33,0,0,0.85,0,102.98,0,3.17,0
 36-46,0,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0,3.76,0,2,0,0,452.01,0.58,10,7.19,0,5.74,0,0,110.78,0,0.69,0
 48-58,0,0,0,0,1.54,0,42.84,0,0,0.81,7.73,0,0,0,0,0,1.59,0,4.49,0.72,0,672.38,0,11.31,19.38,0,1.99,0,0,91.98,0,7.26,0
 60-70,0,0,0,0,0.63,0,77.51,0,0,1.35,20.2,0,3.5,0,0,0,5.15,0,15.25,0,0,1360.79,0,8.56,26.08,0,1.73,3.39,0,104.05,0.8,0,0
 72-82,0,0,0,0,3.92,0.86,140.7,0,0,0,31.33,1.68,1.5,0.54,0,11.72,2.3,0,14.41,0,0.53,1329.72,0,7.42,23.55,0,9.8,0,0,45.85,0,2.29,0.77
 84-94,0,0,0,0,2.85,0.76,104.6,0,0.6,0,18.23,0.93,0,1.99,0,0,8.76,0,26.79,0,0,741.02,2.32,16.2,21.8,0,12.58,0,2.53,47.08,0,0,0
 96-106,0,0,0,0,3.99,7.38,63.5,0,0.57,0,11.42,0,0,1.41,0.63,1.78,9.46,9.01,17.89,1.02,1.31,654.18,0,7.67,28.28,0,9.75,0,0,15.37,0,1.88,0
108-118,0,0,2.91,0,9.39,0,136.93,0,0,0.5,15.36,0,0,0.45,4.73,0,10.81,0,27.77,0,1.5,712.66,0,4.15,40.98,0,9.33,0,0,5.69,0,0,0
120,0,0,0,0,14.4,17.95,224.45,18.76,0,25.48,33.04,0,0,3.35,0,0,10.53,0,39.99,0,0,1833.37,0,11.29,45.08,0,5.83,0,0,8.66,0,0,0
