stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.7,0,0,0,0,0,0,25.11,3.7,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.27,0,0,9.03,0,0,0,0
 14-21,0,2.98,0,0,0,0,0,0,0,2.94,0,0,0,0.83,1.89,1.31,0
 24-34,0,0,1.26,0,0,0,0,0,0,9.97,0,0,0,0,0.65,2.83,0
 36-46,0,0,0.76,0,0,0,0,1.05,0,7.89,0,0,0,0,0,1.8,0
 48-58,0,0,0,0,0.64,0,0,0,0,4,0,0,0,0,0,3.39,0.5
 60-70,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0.64,0
 72-82,0,0,1.27,0,1.54,0,0,0.68,0,8.26,0,0,0,0,0,4.76,2.66
 84-94,0,0,3.27,0,1.87,0,0,1.36,0,4.49,0,0,0,0,0,2.77,0
 96-106,0,0,0,0,1.31,0,0,0.96,0,10.23,0,0,0,0,0,0,0
108-118,0,0,0.47,0,1.58,1.11,2.1,6.14,0.46,3.39,0,0.56,0,0,0,0,0
120,0,0,0,1.58,7.58,0,0,2.32,0,7.99,0,0,0,0,0,0,0
