stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,0,60.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,6.27,0,0,8.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.86,3.76,1.64,0,0,0,0,0,0,0,0,0.9,15.49,0,0,0,0,0,1.71,1.03,2.09,5.65,0,0,0
 24-34,0,0,0.64,0,3.3,0,0,0,0,0.69,0,6.73,0,2.07,40.68,0,0,1.55,0,0,0,0,0.75,5.98,0,0,0
 36-46,0,0,0,0,7.48,0,1.58,0,0,0,0,0,0,0,54.98,0,0,0,0,0,0,0,0,4.11,0,0,0
 48-58,0,0,0.8,0,14.6,0,2.69,0,0,0,0.39,3.69,0.56,0,61.99,0,0,0,0,0,0,0,0,3.64,0,0,0
 60-70,0,0,0.79,0,6.84,0,0.76,0,0,0,0,1.67,0,0,33.42,0,0,0,0,0,0,0,0,2.82,0,0,0
 72-82,0,0,1.37,0,26.92,0,2.9,0,0,0,0,10.05,0,0,17.25,0,0.75,1.52,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,27.7,0,1.97,0,1.4,0,0.62,2.95,0,0,12.6,0,1.86,0,0,0,0,0,0,5.55,0.56,0,0
 96-106,0,0,0,0,5.99,8.17,0,0,0,0,0,14.74,0,0.72,20.55,0,0,0,0,0,0,0,0,0,0,0,0.91
108-118,0,0,1.8,0,20.83,0,0.44,1.14,0,0,0,4.41,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.45,6.32,0,0,0,0,0,0,0,0,1.98,48.53,0,0,0,0,1.54,0,0,0,0,0,1.14,0
