stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,82.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.16,85.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.21,0,0,5.48,0,0,0,0,0,0,0,0,0,0,45.83,0,0,0,14.64,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0,1.73,0,0,0,0.99,0,0,0,0,0,4.38,16.24,0,0,0,0,0,0,0.84,7.4,0,0,0
 24-34,0,0,0,0,1.78,0,6.7,0,0,0,0,0,0,0,1.71,0,0,39.85,0,0,0,0,0,1.69,0,9.28,0,1.04,0
 36-46,0,0,0,0,0,0,4.28,0,0,2.15,0,0,0,0.56,0.71,0,1.03,50.64,0,0,0,0,0,8.02,0,9.6,0,0,0
 48-58,0,0,0,0,0.42,0,21.5,0,0,2.56,0,0,0,0,1.15,0,0.46,33.09,0.55,0,0,0,0,6.32,0,2.83,0,0.5,0
 60-70,0,0,0,0,0,0,56.16,0,0,1.04,0,0,0,0,9.78,0,0.75,29.14,0,0,0,0,0,4.88,0,11.63,1.84,0,3.16
 72-82,0,0,0,0,0.61,0,16.22,0,0,3.33,0,0,0,0,6.96,0,3.63,35.31,0,1.13,0.54,0,0,0,0,1.16,0,0,0
 84-94,0,0,0,0,0,1.1,9.61,0,3.36,0,0,0,0,0,2.11,0,0.75,22.15,0,0,0,0,0,1.3,0,10.17,0,0,0
 96-106,0,0,2.08,0,0,0,1.52,0,0,0,0,0.78,0,0,2,1.05,0,12.45,0,1.94,4.76,0,0,0.65,0,0,0,0,0
108-118,0,0,0,0,0,7.2,11.55,0.88,1.7,3.76,0,1.52,4.26,0,0.44,0.69,0.61,21.57,0,0,0,0,1.96,0.44,0,0,0,1.33,0
120,0,0,0,0,0,0,14.22,0,0,3.86,0,0,1.25,0,0,0,0,29.81,0,0,0,0,0,1.22,0,0,0,5.85,0
