stage,epidermis,ionocyte,neural,periderm,spinal.cord
 24-34,0,0,0,0.94,0
 36-46,0,0,1.97,2.66,0
 48-58,0,0,0,1.91,0
 60-70,0,0.67,0,0,0
 72-82,0,0,0,2.88,2.45
 84-94,0.79,0,0,4.05,0
 96-106,1.24,0,0,10.92,0
108-118,0,1.1,1.31,4,0
120,0,0,0,7.93,0
