stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.63,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.63,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,78.03,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.74,4.53,0.83,0,24.05,0,0,0,0.86,0,9.59,0,0,0,0,0,1.19,0,5.75,0,0,0.88,120.8,0,1.02,0,0.86,0,2.09,1.35,0,3.85,35.54,0,0,1.89,0,0
 24-34,0,1.29,2.3,13.22,6.51,0,37.06,0,3.32,0,12.32,0,39.73,0,2.7,1.29,3.7,0,0,0.74,11.68,0,0,4.87,512.52,0.83,4.66,0.98,0,0,12.21,0,1.45,4.78,74.54,0,0,11.61,0,2.91
 36-46,0,0,0,10.54,0.58,0,64.53,0,4.44,0,11.28,1.36,42.25,0.65,0,0.62,1.13,0.65,0,0,39.62,3.16,0.6,7.82,633.13,0,8.03,1.49,0,0,13.19,0,0.59,0,108.26,0,0,11.5,0,4.24
 48-58,0,0.42,0,10.75,0.37,0,108.74,0.89,5.96,2.48,26.24,0,34.16,0.4,1.13,0.48,0,0.51,0.37,6.21,38.05,0.8,1.62,8.23,639.85,0,2.13,1.91,0,0,4.07,0,0,0,106.14,0,0,3.71,0,8.6
 60-70,0,0,0,7.58,0,0,163.52,0,2,0,37.8,2.45,4.05,0,3.47,0,0,0,0,7.36,36.45,3.85,0,3.41,538.34,0.96,7.54,3.42,0,4.35,14.08,0,1.65,0,106.13,0,0,1.4,0.81,0
 72-82,0,0.56,0,26.01,0.88,0,253.54,0,1.51,3.1,44.03,1.4,3.63,0,0.63,2.42,0.71,0,0.96,0,79.37,8.68,0,3.86,372.5,0,4.68,4.79,0,0.77,21.45,0,0,0,80.16,0.5,0.61,11.32,3.64,5.7
 84-94,0,0,0,30.03,5.19,0,161.52,0,3.76,3.5,23.09,1.95,0,1.01,7.39,1.14,4.9,2.24,5.89,0,76.66,6.55,5.8,12.25,281.14,7.68,2.85,5.5,0,0,39.01,0,0,0,69.46,0,2.29,10.61,1.83,0.7
 96-106,0,0,0,23.23,5.13,0,191.83,0,5.39,2.29,43.56,7.86,0,1.79,5.1,3.23,0.57,0,0,0,99.45,13.37,2.68,7.58,230.01,1.62,5.9,5.35,0,1.47,32.49,0,0,0,18.54,5.26,2.5,11.21,1.66,27.47
108-118,0,0,6.33,106.34,5.81,2.84,207,0,8.28,0.8,60.95,55.96,0,0.51,7.01,4.07,6.77,1.99,3.72,0.53,104.98,4.34,0.65,10.07,329.47,0.87,7.27,6.82,0,3.03,65.91,0,1.89,0,13.11,20.36,0,9.37,1.14,1.09
120,0,1.37,0,148.16,5.38,0,103.52,0,15.38,2.17,85.15,11.24,0,2.11,13.51,2.67,2.11,0,0,0,110.78,9.06,0,5.64,309.53,2.83,11.55,7,0,0,98.73,0,0,0,13.32,11.02,5.4,9.58,0,1.16
