stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,171.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58,5.34,0,0,21.15,0,0,22.26,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0.96,0,0,0,1.24,0,0,0,0,0,0,23.04,0,0,0,1.98,126.53,0,2.91,0,0,0,0,0,0,57.26,0,0,0,0,0
 24-34,0,0,0.8,1.55,0,0,7.36,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,6.2,1057.17,0,8.45,0.8,0,0,1.68,0,0,226.18,0,0,1.81,0,0
 36-46,0,0,0,2.69,0,0,139.06,0,0,0,4.07,0.68,0,0,0,0,0,15.75,10.42,0,0,0,3845.35,5.1,30.88,0,0,0,0,0,0,564.95,0,0,5,0,3.99
 48-58,0,0,0,17.96,9.11,0,925.06,1.1,0.47,2.71,28.23,5.6,0,0,0,0,0,10.38,17.79,0,0,4.72,5950.73,7.1,6.01,3.83,0,0,7.25,0,0,774.85,0,0,4.89,0,5.44
 60-70,0,0,0.7,28.64,0,0,3152.14,3.74,0,0,31.54,18.46,5.1,0,0,0,0,12.13,42.93,2.63,0,0.65,6802.31,0.62,5.98,2.45,0,0,6.69,5.3,1.01,770.76,0,0,5.47,0,29.48
 72-82,0,0,3.15,17.22,0,0,2756.91,0,0,0,56.24,108.84,0,0.72,1.42,4.43,0.66,16.29,37.69,0,0,0,4720.33,0,5.24,2.07,0,1.67,3.14,0,0,461.76,1.39,0.63,1.59,2.04,0
 84-94,0,0,0.98,23.47,2.26,0,1555.89,2.56,0.63,0,38.93,199.02,0,2.17,0,0.67,0.69,0,28.41,0,0.93,1.58,2941.11,0,3.53,3.49,0,0,1.54,0,0,225.4,0,2.64,2.82,0,6.26
 96-106,0,0,14.07,12.26,10.36,1.07,1079.31,0,2.49,0,57.88,370.28,0,1.33,0,0,8.94,9.95,44.16,0,2.34,0,2335.65,0,4.01,0,0,0.81,18.05,3.02,0,115.28,0,0,0,2.56,0
108-118,0,0,2.75,40.42,4.95,4.57,940.13,0,0.43,1.32,38.66,579.88,10.3,0.68,1.06,1.26,0,14.1,24.25,0,0,1.21,2351.72,0,4.19,1.38,0,0,5.89,0,0,59.72,0,0,0,2.69,0.62
120,0,0,3.99,14.57,3.66,0,742.02,1.26,0,0,87.79,385.07,0,0,0,0,0,9.2,35.32,0,4.71,0,2440.81,1.1,16.47,0,0,0,5.12,0,0,49.86,0,0,4.29,0,0
