stage,blastomeres,epidermis,eye,fin.epithelia,glial,ionocyte,iridophores,liver,mesenchyme,mucous,neural,periderm,spinal.cord,vasculature
  3-4,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,45.68,0,0,0
 14-21,0,21.98,0,0,0,0,0,0,0,0,0.85,3.69,0,0
 24-34,0,90.72,0,1.04,0,0,0,0,0,0.93,33.48,2.3,2.07,0
 36-46,0,71.44,0,2.64,0,0,0,0,0,0,8.3,0,1.34,0
 48-58,0,34.43,0.43,3.21,0,7.23,0.39,0,1.37,0.39,11.99,1.19,0,0
 60-70,0,34.25,0,8.27,0,0,0,0,0,0,10.54,5.02,0,0
 72-82,0,16.85,0,6.26,0,0,0,0,0,0.57,19.72,0,0,0
 84-94,0,52.34,2,17.82,6.45,0,0,0,4.58,0,39.53,0,0,0
 96-106,0,16.67,0.59,5.22,1.09,0,0,7.45,0,0,10.79,0,0,0.65
108-118,0,36.02,0,20.29,0,0,0,0,0,0,21.08,0,0,0
120,0,35.34,0,5.06,0,0,0,0,0,0,14.31,0,0,0
