stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.44,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,1.21,0,0,4.13,26.29,0,0,2.36,0,0,0.89,0,1.38,4.18,8.25,0,0,0,0,0
 24-34,0,0,0,0.67,8.66,0,0,3.44,0,4.13,0,0,0.67,0,0,0,0,0,0,0,4.01,0,0,3.28,8.65,18.76,0,0,0,0,0.61,0,0,0,5.63,0,0,2.28,0,0
 36-46,0,0,0,0,7.84,0,0,1.59,0,3.07,0,1.84,0,3.36,0,0,0,0,0,0,12.12,0,0,6.79,2.01,46.47,1.29,0,0,0,0,0,0,0,4.98,0,0,0,0,0
 48-58,0,0,0,0,26.08,0,0,2.39,0,9.24,1.36,7.49,0,0.93,0,0,0,0,0,0,15.05,0,0.56,2.21,23.07,57.45,5.86,0,0,0,2.12,0,0,0,6.82,0,0,0.95,0,0
 60-70,0,0,0,0,16.85,0,0,12.01,0,70.36,0,7.91,0,0,0,0,0,0,0,0,99.87,0,1.14,2.66,10.09,71.33,0.96,1.87,0,0.71,3.71,4.69,0,0,14.8,0,0,3.47,0,0.77
 72-82,0,0,0,0,31.88,1.75,0,11.59,3.69,53.26,3.52,11.72,1.85,2.17,0,11.43,2.91,0.68,0,3.31,379.23,0.73,6.03,25.86,35.96,45.52,15.97,6.59,0,0,1.14,0,0,0,9.34,1.68,1.34,1.77,4.07,0
 84-94,0.62,0,0,0,100.15,0,0,13.86,0,109.6,1.75,1.45,5.62,3.69,0,15.77,1.99,1.05,0.6,0.56,319.85,3.35,8.48,21.43,22.89,73.03,4.3,2.48,0,0,6.01,0,0,0,12.65,0.84,3.38,5.75,3.94,0
 96-106,0,0,1.06,0,81.55,11.35,0,42.84,0,121.9,6.34,24.21,4.67,2.77,2.8,5.18,7.16,0,10.38,0.67,499.94,3.28,15.32,17.88,47.59,76.98,16.02,16.47,0,5.34,0.93,0,0,0,31.03,0,3.78,5.95,9.5,0
108-118,3.95,0,0,0.45,166.69,7.01,1.93,14.37,0.44,215.34,8.53,18.95,11.42,1.35,0,19.11,7.35,4.22,10.57,0,558.11,0.93,12.93,7.67,35.95,85.76,5.79,24.89,0,0,2.38,0.85,0,0,8.11,1.11,12.23,6.21,16.88,1.38
120,0,0,0,0,203.55,6.47,0,28.65,0,183.58,0,12.96,8.5,3.83,0,20.89,27.04,3.29,2.8,0,800.38,9.09,19.1,2.99,14.74,169.93,46.46,16.49,0,0,5.49,1.22,0,0,25.56,0,14.48,15.53,31.24,0
