stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,47.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0
  7-9,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,4.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,25.37,0,0,32.75,0,4.56,14.96,0,6.84,0,0,0,0
 14-21,0,0,0,7.08,2.87,1.97,0,0,0,1.74,0,0.86,0,0,0.96,0,0,0,0,9.88,0,0,5.28,37.81,9.89,0,1.88,3.61,2.77,15.98,0,2.55,7.87,24.5,0,0,0
 24-34,0,0,0,2,0.6,3.68,0.74,0.8,0,3.22,1.08,0,0.79,0,0,0,0,0,0,10.1,0,0,7.77,32.91,4.45,0,0,0,3.82,0,0.7,0,3.36,12.63,0,0,0
 36-46,0,0,0,3.51,0,6.49,1.74,0,0,2.78,0,0,1.05,0,0,0,0,2.42,0,7.23,0,0,5.29,27.78,5.23,0,0,0,3.05,0,0,0,0,1.92,0,0,0
 48-58,0,0,0,3.01,0.67,17.04,2.62,0,0.38,5.35,0,0,0,0,0,0,0.4,0,0,7.6,0,0.41,3.53,20.49,2.1,0,0,0,1.73,0,0,0,0,9.82,0,0.84,0
 60-70,0,0,0,0,0,43.9,8.25,0,0,7.03,0,0,0,0,0,0,0,0,0,32.07,0,1.78,3.44,5.5,5.23,0,6.34,0,12.77,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,44.42,3.67,0,0,17.73,0,0,0,0,0,0,0,0.96,0,16.06,0,1.39,0.62,5.63,0,0.58,2.56,0,4.25,0,0,0,0,1.39,0.52,0,0
 84-94,0,0,0,0.57,1.77,79.75,0.69,0,0.58,7.7,0,0,0,0,0,0,0,3.68,4.37,14.26,0,0,3.84,14.3,1.37,0,3.99,0,3.59,0,0,0,0,0.84,1.98,0,3.35
 96-106,0,0,0,0.58,0,86.83,7.98,0,0,12.78,0,0,0,0.8,0,0,1.83,0,0,21.3,1.34,0,0,24.74,0,1.76,0,0,9.85,0,0,0,0,0,0,0.73,2.15
108-118,0,0,0,0.94,0,96.35,2.72,0,0.83,3.63,0,0,0,0,0,0.72,0,2.52,0,18.34,0,0.94,1.98,10.16,0.43,0,0.65,0,11.64,0,0,0.42,0,0,0,0.55,0.62
120,0,0,0,1.85,0,65.96,5.11,2.08,3.18,13.68,0,0,0,0,0,0,0,0,0,1.94,0,0,4.87,10.76,0,0,3.65,0,8.03,0,1.38,0,0,0,0,0,1.43
