stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.69,1.42,0,0,0,0,0,0,0.9,0,1.69,21.91,0,0,0,0,1.74,0,0,4.57,0,0,0,0
 24-34,0,3,0.83,0,0,0,0,0,0,0,0,1.58,14.07,0,1.29,0,0,0,0,0,0,4.85,0,0,0
 36-46,0,0,0.62,0,0,1.06,0,0,0,2.73,0,0,38.63,1.34,0.64,0,2.07,0,0,0,0,4.59,0,0,0
 48-58,0,0.51,7.93,1.36,0,4.78,0,0,0,3.39,0,0,40.58,0,0,0,0,0,0,0,0,6.81,0,0,0
 60-70,0,0,10.73,0,0,8.37,0,0,0,11.37,0,1.33,22.62,0,0,0,0,0,0,0,0,1.5,0,0,0
 72-82,0,5.33,17.46,0,5.41,1.74,0,0,0,10.84,1.42,0,15.14,0,0,0,0,0,0,0,0,2.16,0,0.59,6.44
 84-94,0,0,10.7,0,0,2.15,0,0.83,1.05,4.42,0,0,10.71,0,0.71,0.57,0,0,0,0.63,0,1.21,2.66,0,0
 96-106,14.31,0,7.1,0,0,0,0,2.8,0,13.47,0,0.57,2.62,0,0,2.17,0,0,0.63,0,0,0,0,0,0
108-118,2.22,0,9.55,0,0,1.42,3.24,0,0,4.73,0,0,9.02,0.45,0,0,0,0,0,0,0,0,0.63,0,2.95
120,0,1.87,0,0,3.49,5.02,0,0,0,12.64,0,0,30.06,0,0,0,0,0,0,0,0,0,0,0,0
