stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.21,0.89,0,0
 24-34,0,0,0,0,0.65,0.92,0,0,0,0,0,0,1.28,0,0.8,9.06,0,0,0,0,0,0,0.81,0,0
 36-46,0,0,0,0,4.67,0,0.75,0,0,0,0,0.61,1.31,0,0,23.77,0,0,0,0,0,0,3.3,0,3.04
 48-58,0,0,0,0,11.97,0,0,0,0,0,0,0,1.08,0,0,35.49,0,0,0,0,1.48,0,2.23,0,0
 60-70,0,0,1.45,0,13.26,0,5.57,0,0,0,0,0,13.97,12.44,0,24.95,0,0,0,0,0,0,6.08,0,0.87
 72-82,0,0,1.46,1.46,25.69,0,15.24,0,3.64,0.64,1.32,0,10.15,0,0,40.16,0,0,0,1.77,0,0,5.05,0,4.01
 84-94,0,0,1.1,0,20.15,0,1.07,1.64,0,0,0.83,0,5.21,1.17,0,26.1,0,0.59,0,0,0,0,6.7,0,6.52
 96-106,0,1.23,0.72,0,4.1,0,2.82,0,0,0,0,0,3.33,0,0,12.71,2.82,0,0,0.63,0,0,0,0,3.39
108-118,0,0,0.47,0,8.1,0,1.83,0.43,0,0,0,0,9.7,0,0,20.1,0,0,0,0,0,0,0.65,0.44,0.91
120,0,0,0,0,5.82,0,1.68,1.31,0,0,0,0,17.78,0,0,103.23,0,0,0,0,0,0,0,0,0
