stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,1.63,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,53.14,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,5.05,0,0,0,0,0,0.76,0,0,0,0,156.4,0,3.35,0,0,0,6.13,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 72-82,0,0,0,3.26,29.06,0,26.07,0,3.67,0,5.97,0,0,2.12,0,2.68,0,1213.03,0,11.06,0,0,0.54,97.46,0,1.08,0,0,0,7.2,0,0,0,5.77,1.36,0,7.61,0,12.39
 84-94,0,1.11,0,4.35,7.21,0.75,81.36,9.11,0,1.93,4.34,8.67,0,6.12,0,0,0.66,4617.05,0,7.67,2.15,0,7.56,146.96,2.22,2.17,0,0,0,16.55,0,0,0,0,2.36,2.89,0,1.87,10.51
 96-106,0,1.08,0,52.03,81.7,12.14,234.11,4.44,3.98,7.29,68.61,23.26,2.65,14.71,3.49,4.25,4,9636.97,0,151.39,3.69,0.85,20.82,1458.09,2.92,10.61,8.71,0,8.13,139.33,2.06,3.26,0,7.08,2.92,1.24,39.73,9.46,11.24
108-118,0,3.39,0.74,22.81,21.68,9.74,208.93,2.1,3.06,8.46,44.18,12.93,0,2.11,2.81,3.21,0,15423.14,2.51,110.18,3.66,2.5,6.63,854.56,4.94,1.98,2.87,0,15.77,50.87,0,5.72,0.86,5.12,5.17,5.68,18.13,3.06,10.22
120,0,0,0,9.68,5.04,0,119.09,1.1,4.2,0,6.9,7.84,0,1.29,0,1.62,0,7601.54,0,41.46,0,0,3.81,707.68,0,8.55,0,0,0,15.94,0,0,1.69,14.83,5.67,0,17.7,11.12,0
