stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,24.71,0,0,0,6.61,0,0,0,0,0,0,0,0
 14-21,36.6,36.83,2.9,0,0,0,0,0,0,1.33,0,0,0,0,98.24,0,0,0,5.1,1.23,0,0,0,0,0.83,1.78,1.45,0,0,0,0
 24-34,24.52,5.24,0.63,0,0,0,0,0,0,0,0,0,0,0,27.14,0,2.03,0,3.73,0,0,0,0,1.08,0,5.63,0,0,0,0.6,0
 36-46,14.49,0.63,0,0,0,0,0,0,1.02,2.84,0,0,0,0,23.21,0,0,0,12.09,0,0,0,0,0,0,2.28,0,1.09,0,0,0
 48-58,9.33,0,0,0,0,0,0,0,0,8.49,0,0,0,0,55.93,0,1.38,0,6.76,0,0,0,0,0,0,4.74,0,4.16,0,0,0
 60-70,1.85,0,0,0,0,5.39,0.59,0,0,24.61,0,0,1.16,0,50.56,0,0,0,24.18,0,0,0,0,3.05,0,2.38,0,0,0,0,0
 72-82,15.66,0,0,2.4,31.88,9.06,0,4.14,1.45,97.51,0,0,0,0,129.63,0,6.51,0,39.12,0,0,0,0,0.59,0,11.87,0,3.45,0,1.85,0
 84-94,29.74,0,7.03,1.96,89.29,11.23,0,0,1.21,206.75,0,0,0.65,0,301.94,0,17.27,0,30.16,0,0,0,0,0,0,32.79,0,1.62,0,0,0
 96-106,31.29,0,3.25,2.43,78.16,50.82,0,0,30.49,317.46,0.99,0.6,1.03,0,430.03,0.71,12.53,6.59,110.51,0,0,0.65,0,5.89,0,45.56,0,3.71,1.94,3.04,0
108-118,23.31,0,8.92,0.57,130.72,31.3,0.74,0,0,364.74,0,1.63,0,0.84,618.55,0,14.18,0.47,88.81,0,0.54,0,0,5.88,0,37.68,0,0,0.53,0,4.62
120,14.65,0,1.56,0,45.25,20.19,0,0,0,313.67,0,0,0,0,384.31,0,0,0,101.47,0,0,0,0,0,0,20.57,0,1.53,0,0,0
