stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,290.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,190.59,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.44,10.48,0,13.81,0,0,7.04,0,0,0,0,0,34.44,0,0,0,0,0,0,0,0,0,0,154.31,6.95,0,88.38,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.24,0,6.22,10.73,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,53.81,3.15,0,15.76,0,4.24,14.12,0,17.24,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,15.6,533.4,2.1,0,0,0,0,1.2,0,2.15,0,0,0,0,39,0,4.19,0,29.49,20.08,0,0,1.09,0,7.11,1.38,1.06,0,0,5.83,8.6,0,217.14,0,0.84
 24-34,0,0,0,0,9.53,78.43,2.28,0,0,0.83,1.25,0,0,8.41,0,0.63,0,0,50.39,0.66,64.39,0,99,80.71,0,1.03,0,0,1.22,0.86,1.1,2.28,3.79,1.11,7.79,0,1243.1,0,1.99
 36-46,0,0,0,0,0,1.29,26.96,0,0,0,5.06,0,0,0,0,0,0,0,58.13,0,118.1,0,87.97,44.47,0,0,0,0,0.61,0.81,0,0,0,0,5.34,0,681.99,0,0
 48-58,0,0,0,0,2.12,5.71,18.94,0,0.85,7.15,2.57,0,0,2.75,0,0,0,1.04,5.86,0,188.4,0.55,42.22,82.9,0,0,0,0,10.69,0,0,0,0,0,4.8,0,410.25,0,0
 60-70,0,0,0,0,0.57,63.37,6.82,0,0,2.24,0,3.52,0,2.57,0,0,0,1.26,2.06,0,354.84,1.64,40.57,57.56,0,0,0,0,0,0,0,0,0,0,2.91,1.31,366.27,3.23,0
 72-82,0,0,0,0,2.04,0.92,30.86,1.37,1.75,5.53,3.53,4.09,0,0.81,0,0,0,0,7.73,0,532.81,1.41,32.73,48.7,0,0,0,0,1.96,0,0,0,0,0,3.31,10.93,503.18,9.19,2.33
 84-94,0,0,0,0,1.02,0,19.85,0,0,0.62,1.99,4.34,0,0.78,0,1.08,1.67,0,2.4,0,393.92,4.79,21.7,25.56,0,0,0,0,0,0,0,0,0,0,0,5.11,518.95,2.95,0
 96-106,0,0,0,0,4.48,14.16,5.35,0,0,3.07,7.5,1,0,2,2.31,0,0,0,5.08,7.1,321.16,2.28,17.09,51.57,0,1.09,0,3.69,0,0,0,0,0,0,4.94,14.33,516.09,3.04,0
108-118,0,0,0,0.74,1.85,7.19,24.59,0,1.14,3.7,3.86,1.82,0,2.73,0.42,0,0,0,2.18,0,293.68,2.47,15.92,40.44,0,0,0,0.96,0,0,0,0.85,0,0,0,10.98,533.86,1.05,0
120,0,0,0,0,7.18,14.81,3.95,0,2.19,0,21.29,1.02,5.2,0,1.75,0,0,0,0,0,379.68,0,42.21,80.14,0,0,0,19.14,5.39,0,0,0,0,0,0,11.93,900.72,8.01,0
