stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,572.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.3,636.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.72,0,8.25,0,0,60.06,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,349.4,22.2,0,0,42.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,0,0,0,38.16,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,184.96,10.13,0,0,23.28,0,0,0,0,14.46,0,0,0,0,0,0,0
 14-21,0,0,8.29,3.4,5.63,1.08,8.16,0,0,0,0.84,0,1.58,0,0,0,0,0,0,0,0.86,0,0,3.11,487.67,1.68,13.62,1.04,0,0,0,0,1.81,0,0.88,236.95,0,0,0,0,0
 24-34,0,0.83,10.12,1.33,3.13,0,34.71,0,0,0,7.09,0,0,0.98,0,0,0,0,0.65,0,9.92,0.87,0,2.1,2325.69,0,67.54,0.77,0,0,6.93,0,0,0,0,480.75,0,0,0,0,0
 36-46,0,0,3.28,0,3.36,0,274.78,0,0,0,26.96,0,0,0.65,0,0,0,0,1.46,0,14.27,0,1.14,1.95,5546.89,2.93,56.49,0,0,0,1.04,0,0,0,0,928.57,0,0,0,0,0
 48-58,0,0,1.07,0,18.25,0,811.88,0,0.38,8.65,112,0,0,0.44,2.66,0,0,0,4.78,14.96,39.54,1,1.17,3.09,5709.47,0,38.55,0,0,0,2.95,0,0,0,0,997.85,0,0,0.77,0,4.47
 60-70,0,0,5.46,0,7.29,0,2484.78,0.6,0.82,0.81,55.62,1.13,0.59,0,8.06,0,0,0,0,0,46.59,1.77,0.63,1.81,6391.04,0,21.09,0,0,8.44,4.56,0,0,0,0,1096.84,0,2.35,0,0,13.63
 72-82,0,0,9.69,0,10.64,12.65,2533.61,7.1,1.31,8.51,94.02,4.32,0,0,10.43,8.65,0,2.56,1.65,0,70.78,1.79,6.77,11.02,4717.1,0,26.81,4.42,0,2.14,7.44,0,0,1.2,0,593.83,8.42,0,14.2,1.15,35.29
 84-94,0,0,14.12,0,46.62,0.7,1733.02,0,0,1.18,98.86,14.43,0,0,2.25,0.83,4.06,1.3,0,0,68.5,4,0,2.8,2799.65,0,13.2,14.1,0,0,1.75,0,0,0.6,0,419.46,0,3.24,1.99,3.32,3.18
 96-106,0,0,7.11,0,24.81,9.55,1771.75,0,0.61,0.84,86.66,11.56,0,0.73,0,0,0.75,0,7.31,0,56.09,0,1.7,4.14,2699.5,0.62,23.67,10.93,0,0,8.86,2.06,0,0,0,184.57,2.45,4.21,2.33,3.22,0
108-118,0,0,4.57,0,39.78,9.65,1659.11,0,0,0,58.74,16.35,0,0,0,0,0,0.85,5.65,1.68,41.88,0.53,3.76,1.16,4070.69,1.32,24.1,11.98,0,0,0.42,0,0,4.18,0,127.79,2.74,0,6.14,4.11,0.75
120,0,0,14.31,0,26.66,6.4,1096.97,18.76,1.16,0,94.46,31.45,0,0,3.35,0,0,2.6,12.59,0,40.77,1.65,3.2,3.99,4438.45,6,35.57,18.89,0,0,6.87,0,0,2.86,0,104.41,2.39,0,2.15,0,0
