stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.75,0,0,3.56,0,0,0,0,0,16.55,3.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.98,44.81,0,0,0,0,0,0
 14-21,0,0,2.82,0,0,0,0,13.76,0,1.49,1.71,6.78,0,0,12.35,0.95,0,0
 24-34,0,0,0,0,0,0.93,0,11.24,0,3.52,8.92,0,0,0,3.08,0,1.71,0
 36-46,0,0,0,0,1.08,0,0,6.41,0,2.2,5.58,0,2.85,0,0,0,0.92,6.36
 48-58,0,0,0,0,0,1.75,0,2.64,0.54,0.51,2.22,0,0,2.25,0,0,1.24,0
 60-70,0,0,0,0,3.35,0,0,1.76,0,0,1.26,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.16,1.07,5.37,2.5,0,0,5.19,0,0,0,0,0,5.48,0
 84-94,0,0,0,0,4.37,0,0,3.41,0.95,0,3.54,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.42,0,0,0.94,0,0,6.66,0,0,0,0,0,0,0.61
108-118,0,0,0,2.73,2.39,0,0.63,0,0,0,2.33,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0
