stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,207.6,3644.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,0
  5-6,290.79,3342.32,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.53,0,0,0,0,0,76.06,0,0,0,0,0,0,0,0,0,0
  7-9,8,21.91,0,8.72,0,0,39.69,0,0,0,0,24.29,0,0,0,0,0,0,0,0,0,0,392,3.34,0,0,136.55,0,0,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,6.49,0,34.09,0,0,0,0,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,232.11,10.77,0,0,54.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.23,28.42,3.67,14.2,1.58,0,7.95,0,0,0,0,0.86,0,0,0,20.4,0,0,23.83,195.96,27.71,1.72,4.45,6.48,0,22.96,0,17.26,1.01,17.79,81.81,0,0,2.59,0,0
 24-34,0,0,0,0,17.42,2.42,61.62,1.33,0,14.25,0.63,0,2.95,2.68,0,0,0,5.11,69.57,0.63,0.89,28.66,549.85,9.29,3.25,1.94,0,0,28.65,0,0,2.57,4.02,107.12,0,0,14.48,0,5.66
 36-46,0,0,1.4,0,5.77,5.89,110.2,0.74,0,13.45,0.62,0,1.5,0.68,0,6.94,0,0,82.35,0.56,3.13,44.04,336.48,4.04,5.38,0.72,0,0,30.11,0,0,0,0,95.63,0,0,21.07,0,12.63
 48-58,0,0,0,0,10.54,6.3,175.23,4.71,1.41,13.59,1.11,0,2.55,0,0,0.92,1.46,0.78,105.91,0.39,2.97,17.13,188.84,3.57,1.79,0.82,0,0.79,3.09,0,0,0,0,33.41,0,0,5.33,0,0
 60-70,0,0,0,0,15.34,0,134.72,0,1.35,29.75,8.72,0,0,4.2,2.48,0,2.28,0,102.56,0,5.32,14.43,143.97,0,6.72,1.12,0,0,1.43,0,0,0,0,12.02,0,0,4.81,0,0
 72-82,0,0,3.47,0,5.78,0,97.07,0,4.58,20.28,7.55,0,0,0.63,0,2.35,0.68,0.79,67.66,0,11.07,7.66,86.99,1.79,2.52,1.38,0,0,9.11,0,0,0.64,0,4.78,0,0,5.57,0,0
 84-94,0,0,0,0,9.21,2.86,164.51,0,0,10.43,7.82,0,0,0,3.7,0.66,0,0.74,90.49,0,2.7,8.68,74.72,2.94,0.71,7.03,0,0,5.52,0,0,0.56,0,2.15,0.74,0.98,6.86,0.77,0
 96-106,0,0,0,0,3.5,0,72.28,0.59,0,15.29,7.51,0,0.89,2.35,0,0,0,0,54.82,0,1.41,5.38,55.53,0.77,3.39,3.67,0,2.27,6.61,0,0,2.23,0,1.31,0,0,7.72,2.62,3.29
108-118,0,0,0,0,9.93,1.18,72.31,0,0,25.88,4.45,0,1.96,3.49,0,1.9,0,0,42.83,0,2.39,2.22,71.59,0,3.82,0,0,0,4.77,0,0,1.06,0,0.78,0.49,2.28,7.06,0,2.17
120,0,0,0,0,8.94,2.16,76,0,0,40.68,4.53,0,0,4.51,0,0,0,0,50.23,0,0,17.55,94.27,0,0,8.17,0,0,2.85,0,0,0,0,8.15,0,0,1.46,0,0
