stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.82,3.25,0,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0
 24-34,0,0.64,0,0,0.92,0,0,0,0,2.63,0,0,21.94,0,0,2.17,0,0,0
 36-46,0,0,0,0,0,0,0,0.58,1.78,1.22,0,0,29.14,0,0,0,0,0,1.06
 48-58,0,0,0,0,0,0,0,0.39,0.56,0.67,0,0,7.41,0,0,1.74,0,0,0
 60-70,0,0,0,3.03,0,0,0,0,0,0.6,1.38,0,28.03,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.74,1.31,0,0,15.25,0,0,2.68,0,1.26,0
 84-94,0,1.75,0,2.42,0,0.64,0,2.38,0,6.63,0,0,33.68,0,0,0,0.57,1.26,0
 96-106,0,2.74,0,0,1.1,0,0.63,0,2.9,1.41,0,0,50.21,0,0,0,1.44,0,0
108-118,0,2.64,0.53,6.49,5.43,0.98,0.45,4.22,9.93,2.75,0,0,41.4,0,0,0,0.42,0,0
120,0,2.79,0,0,1.75,12.11,6.02,0,0,17.42,0,1.15,27.4,1.13,0,0,0,0,0
