stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,11.76,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0
 14-21,1.01,0,2.07,0,0,0,0,1,0,0,0,4.08,0.97,1.77,0,0,0
 24-34,1.41,0,0.88,1.08,0,0,0,10.71,0,0,0,0,0,1.47,0,0,0
 36-46,0,0,1.75,1.19,0,0,0,6.39,1.95,0,0,0,0,4.83,0,0,0
 48-58,0,0,3.96,0.44,0.6,0.55,0,2.15,0,0,0,0,0,0.64,0,0,1.32
 60-70,0,0,3.84,8.78,1.42,0.74,0,21.93,0,0,0,0,0,1.18,0,0,0
 72-82,0,4.23,3.55,0,0.99,3.25,0,1.26,0,1.46,0,0,0,0.64,0,2.77,0
 84-94,2.71,0,6.25,1.08,7.01,1.83,0,7.31,0,0,0,0,0,0,0,1.24,0
 96-106,0,0,5.49,0.99,6.02,0,0,4.46,0.81,0,0,0,0,0,4.64,0.59,0
108-118,0,0,4.57,0,7.56,2.89,0,0,0,0,1.53,0,0,0,0.67,0,0
120,0,0,1.11,0,6.28,0,2.53,9.23,0,0,0,0,0,0,0,0,0
