stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.84,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,8.98,0,0,0,0,0,1.77,0,0,0.99,3.32,0,2.89,0,0
 24-34,8.12,0.95,7.29,0.72,0.75,0,1.71,0,0,0.76,0,3.05,0,0,0,0,2.04,1.85,0,3.33,38.46,1.56,0,0,0,6.28,0,0.94,0,1.67,6.64,0,0.89,0,0.61
 36-46,7.38,0,0.89,0,9.44,0,0,0,0,0,0,7.28,0,0.72,0,2.61,3.64,0,0,0,20.79,0,0,0,0,8.33,0,0.82,1.49,0,13.66,0,0,0,0
 48-58,5.33,0,2.24,3.82,1.89,0,3.42,0,5.03,0,0.47,0.39,0,0,0,0,5.81,1.36,0,0.92,18.72,0,0,0,0,2.24,0,0.53,0.62,0,5.35,0,1.82,0,0
 60-70,23.04,0,7.61,1.62,20.96,0.91,18.09,0,13.43,4.15,0.76,4.48,0,0.73,0,0,25.38,11.81,1.35,0,16.46,0,0,3.6,0,35.63,0,4.92,1.58,0,5.48,0,1.73,0,3.87
 72-82,9.11,0,4.22,0.5,3.77,0.66,5.49,2,1.3,0,0,1.14,1.44,0.76,3.49,0,14.33,7.45,0,0,2.15,0,0.49,0,0,4.46,0,3.16,0,0,0,0,3.76,0.91,4.5
 84-94,5.9,0,8.33,0,4.39,1.65,2.61,1.45,4.66,0,0,2.15,0,0.61,0,0,18.01,6.8,0.6,1.81,10.61,3.42,0,0,0,10.26,0,1.22,0,0,5.93,0,7.57,0,0
 96-106,6.76,0,6.81,0,1.92,0,9.55,9.65,0,0,2.55,2.2,0,0.66,2.44,0,4.24,3.64,0,0.76,5.45,0,0,1.99,1.33,12.78,0,0,7.97,0,4.53,0,6.36,0,0
108-118,11.97,0,2.93,0,6.55,0,1.62,4.66,0,3.39,6.13,0.73,0,0,1.37,0,18.08,4.63,0.56,0,14.1,0,0,4.1,0,11.32,0,1.55,0,0,2.1,2.31,5.63,0,0.88
120,14.94,0,6.6,0,2.24,0,27.43,1.54,0,0,0,7.01,0,0,0,0,4.96,1.49,0,0,6.84,0,0,0,0,12.41,0,2.77,0,0,0,0,0,0,0
