stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,162.53,4000.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.95,0,0,0,0,0
  5-6,187.27,2733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.25,0,0,0,0,24.19,0,0,0,0,0
  7-9,16.62,4.72,0,20.63,0,0,0,26.15,0,0,0,32.17,0,0,0,0,354.19,8.04,0,0,95.16,0,22.48,0,0,0,0
 10-12,0,0,0,13.25,0,0,0,20.37,0,0,0,11.61,0,0,0,0,121.13,0,0,0,21.49,0,5.33,0,12.44,0,0
 14-21,0,0,1.11,0,13.87,1.41,0,2.63,0,7.28,2.29,1.8,0.96,0,0,0,25.1,0,0.98,3.45,0,9.78,0,3.74,0.87,4.92,11.52
 24-34,0,0,0,0.62,3.55,0,0,0,0.63,3.69,1.74,0,0,0.65,0,0,9.92,0,5.13,0.7,0,5.76,0,0,2.84,0,11.71
 36-46,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0.58,7.69,0,0.73,0,0,5.82,0.68,0,1.76,0,6.43
 48-58,0,0,0,0,1.25,0,0,2.22,3.07,1.1,0,0.49,0,0.47,0.66,0,13.29,0,2.92,0,0,3.58,0,0,0,0,1.79
 60-70,0,0,0,0,0,0,0,5.07,0,0,1.41,2.19,0,0,0,1.91,14.69,0,0.67,0,0,4.93,0,0,1.87,0,7.94
 72-82,0,0,0.64,0,0,0,0,3.3,0,3.21,0,0,0,0,0,0,10.57,0,1.71,3.61,0,0.69,0,0,0,0,3.6
 84-94,0,0,1.15,0,1.26,0,0,3.51,0,0,0,1.59,0.89,1.67,0,0,5.04,0,1.32,0,0,5.41,0,0,1.4,0,6.93
 96-106,0,0,0.74,0,9.66,0,4.48,1.04,0.61,2.13,0.67,0,0.86,0.59,0,0,9.24,0,2.71,1.25,0,11.31,0,0,0,0,0
108-118,0,0,0,0.74,2.83,0,1.38,0,0.53,5.11,0,0,0,0,0,0,9.6,0,1.27,0,0,4.03,0.48,0,0,0,5.05
120,0,0,0,0,13.1,0,0,0,0,14.6,1.12,0,0,0,0,0,17.75,0,0,9.44,0,7.49,0,0,0,0,0
