stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,143.44,0,0,0,0,0,14.45,0.87,4.75,0,0,0,2.86,0,0,1.11,0,0,0,0,0,0
 24-34,0,0,2.12,0,4.86,0,10.37,0,0,0,0,0,953.87,0,0,0,0,7.93,139.17,0,46.95,0,0,0,3.48,0,0,0,1.86,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0.56,0,0.85,0,0,0,795.45,0,0,0,0,1.53,55.05,0.59,26.13,0,0.81,0,7.46,1.75,0,0,2.88,0,0,1.33,0,0
 48-58,0,0,0.7,0,2.46,0,0,0.44,1.73,0.7,0,0,184.7,0,0,0,0,1.72,0.56,0,16.5,0,0.38,0,0,0,0,0,5.36,0,0,0,0,6.8
 60-70,0,0,13.31,0,2,0,15.2,0,0,41.79,0,0,129.5,0,0,4.47,0,0,0,0,7.1,0,0,0,0,0,0,0,1.24,0,0,0,0,0
 72-82,0,0,1.09,0.59,9.82,0,0,0,1.4,117.61,2.36,0,210.5,0,0,0,0,3.14,1.01,0,16.58,0.72,0.79,1.01,0,0,0,0,0,15.31,0,0,0.93,0
 84-94,0,0,23.68,2.78,16.05,0,0,0,0,433.27,0,0,539.62,0,0,0,0,6.24,0,0,32.36,0,1.01,0,0,1.84,0,0,2.67,88.64,0,1.88,0,7.88
 96-106,0,1.17,43.64,10.67,19.98,0,0,0,6.81,630.28,0,2.65,575.51,0.63,8.12,15.75,0,16.45,26.04,1.52,41.62,3.71,2.51,0,8.06,0.87,0,0,0,296.75,1.82,0,3.21,2.47
108-118,0,0,40.74,0,20.46,0,0.43,0,4.25,446.28,0,0,632.71,0.78,0.5,0.82,5.46,7.02,25.39,1.86,20.22,0,1.76,0,15.06,0.42,0.52,0,0,415.05,0,0,2.73,0
120,0,0,76.05,10.93,7.75,2.34,0,0,20.25,202.47,0,0,650.72,0,0,9.99,0,7.5,3.63,0,50.2,0,3,0,0,0,0,0,0,156.6,0,0,0,0
