stage,immune,mesenchyme,paraxial.mesoderm,spinal.cord
 10-12,0,0,14.3,0
 48-58,1.13,0,0,0.81
 72-82,3.24,0,0,0
 84-94,1.19,0,0,0
 96-106,2.23,0.86,0,0
108-118,2.94,0,0,0
120,12.56,0,0,0
