stage,blastomeres,epidermis,eye,glial,immune,lateral.line,mesenchyme,mucous,neural,notochord,otic,periderm,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,11.98,0
  7-9,0,0,0,0,0,0,0,0,3.85,0,0,0,0
 10-12,7.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.88,6.73,0,0.96,0
 24-34,0,0,0,0,0,0,0,0,1.2,0,1.03,0,0
 36-46,0,0,0,0,0,0,0,0,3.71,0,0,0,0
 48-58,0,0,0.49,0,0,2.3,0,0,2.11,0,14.77,0,0
 60-70,0,0,2.14,0,0,5.36,0,0,0,0,15.53,0,0
 72-82,0,0.96,0,1.79,0,11.21,1.85,0,2.32,0,22.15,0,0
 84-94,0,0,1.13,0,0,13.62,0,0,0,0,38.79,0,1.02
 96-106,0,0,0,3.92,0.58,39.07,0,0,11.37,0,65.52,0,0
108-118,0,0,0,0.99,0,23.63,0,0.54,1.43,0,48.88,0,0
120,0,0,0,0,29.75,35.73,0,0,39.8,0,88.81,0,0
