stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,periderm,vasculature
  3-4,41.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,88.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,677.52,2.16,0,0,0,0,0,53.48,0,0,0,0,0,0,0,0,0,0.94,0
 96-106,0,1491.67,6.69,0.6,31.85,7.73,6.99,0,166.69,0.8,0.88,0.6,0.66,139.64,0,0,0.95,32.17,5.82,1.36
108-118,0,923.01,0,0,1.9,1.12,0,1.14,12.4,0,2.63,0.6,0,0,5.33,0,0,2.53,0,0
120,0,3885.46,0,1.23,12.92,0,16.18,0,30.88,0,0,0,0,0,0,2.08,0,16.32,1.58,0
