stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,133.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,94.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.3,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,45.56,0,0,0,26.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.9,0,0,4.98,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0,57.19,0,0,0,52.81,0,0,0,13.84,0,0,0,0,0,0,0
 14-21,0,0,0,2.88,34.78,0,3.63,0,0,2.96,1.09,0,0,0,2.99,0,0,0,0,12.01,0,0,39.64,81.39,4.44,1.75,3.02,3.77,0,6.81,19.23,2.78,97.51,29.11,0,0,1.64,0,0
 24-34,0,0,0,2.52,12.68,0,19.44,3.64,2.04,9.05,0.71,0,1.02,0.9,6.55,0,1.54,0,0.78,42.71,0,0,68.48,93.47,7.45,3.54,3.82,0,0,3.91,0,4.56,17.48,45.42,0,0,12.65,0,0
 36-46,0,0,0,0,2.73,0,23.12,1.73,4.68,10.74,0,0,0.72,0,0.58,0,0.7,0,0,40.73,0,0.74,28.08,65.97,1.36,2.06,0.59,0,0,7.83,0,0,0,33.29,0,0,9.15,0,0
 48-58,0.39,0,0,0,4.7,0,33.11,1.43,3.44,18.64,0,0,1.27,0,0.65,4.8,0,0,0,35.81,0,0.92,30.94,81.71,0,1.22,1.12,0,0,12.01,0,0,0,33.81,0,0,12.34,0,1.32
 60-70,0,0,0,0,5.9,2.33,23.41,2.98,3.42,70.41,0,0,1.5,8.46,0,0,0,2.55,0,36.33,0,2.04,3.71,129.55,8.76,0.67,1.57,0,1.19,9.88,0,0.63,0,28.87,0,0,6.36,0,0
 72-82,0,0,0,0,3.3,4.68,15.18,2.13,1.65,44.96,0.84,0,0.6,2.13,1.48,0,1.15,1.61,0,17.78,0,2.05,8.56,89.24,0,0,0.65,0,0.71,5.21,0,0.9,0,20.28,0,0.53,9.29,0.91,5.85
 84-94,0,0,0.66,0,9.91,0.69,33.5,0,2.98,40.22,3.51,0,2.07,7,3.56,0,0,0,2.36,38.53,0,2.67,10.25,115.58,1.57,6.35,16.75,0,4.36,16.6,0,0,0,29.55,0,0.59,16.13,2.14,0
 96-106,0,0,0,0,13.84,0,35.09,0,3.65,51.83,1.9,0,2.59,1.31,1.31,0,0,0.72,0.98,12.94,0,0,3.73,77.56,0,0,1.61,0,1.94,3.64,0,0,0,2.6,0,1.58,11.52,0,0.9
108-118,0,0,0,0,16.34,2.87,29.99,2.47,0.84,35.28,1.27,0,0.88,0.92,3.54,0,0,0,0,20.39,0,0.91,3.04,99.14,1.35,1.89,7.15,0,0,6.51,0,0,0,21.02,0,0,11.86,0,1.16
120,0,0,0,0,15.73,9.85,9.76,3.05,4.89,53.61,1.29,0,0,22.04,1.94,3.86,0,0,0,20.05,1.47,30.77,0,147.41,2.28,0,1.4,0,0,3.08,0,0,0,21.17,1.63,0,36.9,8.01,0
