stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.35,326.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.32,354.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,19.8,0,35.94,0,0,30.3,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,318.76,0,0,0,124.23,0,8.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,52.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.44,13.68,0,0,57.41,0,9.77,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,7.6,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,1.02,56.33,0,0,0,0.84,0,0,9.16,0,0,6.42,28.68,0,0,0,0,0
 24-34,0,0,0,0.62,5.1,0,11.99,0,0,0,1.75,0,0,0,0,0,0,0.64,0,8.16,5.25,0,3.06,141.86,0,0.67,0,0,5.41,0,0,0,0.65,1.42,25.05,0,0,1.08,0,0
 36-46,0,0,0,0,2.46,0,17.53,0,0,0,6.4,0,0,2.33,0,0,0,0.65,0,8.94,0,0.74,2.65,181.94,0,0,2.45,0,3.28,0.81,0,1.06,6.25,0,43.39,0,0,2.34,0,0
 48-58,0,0,0,0,4.88,0,51.91,0,0,0,7.07,0.61,0.37,0.39,4.89,0,0,0,0,20.47,0,0.39,0.38,171.55,0.43,1.62,0,0,4.12,0,0,0,0,0,41.92,0,0,2.38,0,3.03
 60-70,0,0,0,0,9.09,0,56.23,0,1.18,0.81,1.42,0,0,0,0,0,0,0,17.45,14.76,0,0,4.95,156.7,0,0,3.1,0,0.57,0,0,0,0,0,26.52,0,0,0,0,0
 72-82,0,0,0.68,0,5.57,0.51,49.01,0,0,3.9,13.73,0.58,0,0,0,0.53,0,0,0,27.56,0,0,1.39,112.28,0,0,0,0,9.68,0,0,0,0,0,34.46,0.82,0,0,0,3.02
 84-94,0,0,0,0,2.49,8.69,73.44,0,0,0,12.6,0,0,0,2.45,0,0,0,0,46.33,0,0,0,66.47,0,0,0.6,0,6.31,0,0,0,0.69,0,5.57,0,1.11,4,3.8,0
 96-106,0,0,0,0,5.74,11.94,50.38,0,0.56,0,9.71,6.65,0,0,3.14,0,0,1.29,0,34.98,0,0.66,0,69.88,0,0.9,2.41,0,14.06,0,0,0,0,0,13.99,0,0,6.62,0,0.89
108-118,0,0,0,0,4.12,3.51,28.45,0.75,3.67,0,13.16,1.22,0,0,1.32,0.48,2.92,1.99,0,20.07,0,0,1.26,129.14,0.5,1.49,10.18,0,9.17,0,0,0,0.49,0,14.91,0,0,0,0,0.65
120,0,0,0,0,8.93,0,50.94,0,2.37,0,18.55,0,0,0,0,3.64,0,4.65,0,12.85,0,0,10.02,159.7,0,0,6.15,0,4.7,0,0,2.43,0,0,5.59,0,0,7.03,0,0
