stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,periderm,taste,vascular_smooth_muscle,vasculature
  3-4,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,1.64,0,2.09,0,0,0
 24-34,0,0.86,0,0,0,0,0,0,0.66,0,0,1.37,1.06,7.37,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0
 48-58,0,3.11,0,0,0,0,0,0,0,0.52,0,2.01,0,7.61,0,0,0
 60-70,0,0,0,0,1.81,0,0,0,0,1.54,0,10.51,0,14.37,0,0,0
 72-82,0,3.75,0,3.66,0,0,0,0,0,2.52,0,2.44,0,2.05,0,0,0.76
 84-94,0,4.05,0,2.22,0,0,0,0,0,0.99,0,2.37,0,13.47,0,0,0
 96-106,0,21.98,0,0,0,0,6.97,1.15,0,4.98,0,3.03,0,30.34,0,0,0
108-118,0,24.86,2.57,6.9,2.89,0.57,0,0,0,1.91,1.68,9.26,0,63.21,0.7,0,0
120,0,32.34,0,0,0,4.75,0,2.83,0,0,0,12,0,48.71,0,2.24,0
