stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.2,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,12.98,52.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,0,0,0,19.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,18.77,0,0,37.15,0,0,0,0,0,0
 14-21,0,0,0,1.52,9.17,0,0,0,0,0,0,0,0,0,46.76,0,0,0,3.95,1.25,0,1.48,7.69,0,0,0,0,18.68,0.95,0,1.75,0,0,0,0,0
 24-34,0,0,0,1.39,1.57,0,0.59,1.41,0,0,0,0,0,0,195.37,0,0,0,4.77,21.01,0,0,30.9,0,2.27,0,0,14.11,0,2.88,0,1.76,0,0,4.72,0
 36-46,0,0,0,2.68,0,0,1,0,0,1.79,0,0,0,0,164.44,0,0,0,3.58,12.54,1.42,0,24.36,0,4.5,0,0,45.34,0,2.33,0,1.96,0,0,0,0
 48-58,0,0,0,4.9,0,0,1.71,0.58,0,0,0,0.52,0,0,36.27,0,0.42,0,0.61,2.06,0,0,36.26,0,2.97,0,0,75.04,0,0.74,0,3.56,0,0,0.52,0
 60-70,0,0,0,3.38,0,0,41.28,5.76,0,6.46,0,0,0,0,32.81,0.66,0,0,4.63,3.81,0,0,52.22,0,12.28,0,0,65.99,0,3.07,0,1.76,1.73,0,0,6.5
 72-82,0,0,0,19.88,5.75,0,23.9,4.5,0,1.89,0,0.55,1.02,0.55,54.38,0,0,0,8.08,7.29,0,0.66,50.25,0,11.87,0.76,0,141.7,0,1.21,0,7.33,2.78,0.81,0,3.15
 84-94,0,0,0,28.48,0.83,0,2.12,10.29,0,0,5.23,7.36,0,0,96.75,0,0.59,0,9.58,10.86,1.17,0,31.67,0,50.97,0,0,351.32,0,4.44,0,9.19,10,0,0,0
 96-106,0,0,0,64.49,11.46,0,18.64,21.53,0,5.53,7.72,2.38,0,1.83,99.5,0,3.83,3.07,12.51,12.29,1.94,0.65,47.81,0,96.79,1.28,0,680.35,0,1.73,0,0,1.5,0,0,3.59
108-118,0,0,0,107.05,5.82,0,22.69,31.82,1.16,4.32,7.14,0,0,4.3,97.98,0.79,0.53,0,9.61,29.73,0,0,27.35,0,74.21,1.97,0,400.9,0,4.04,0,1.01,5.5,0,2.01,0
120,0,0,0,157.62,0,2.02,5.41,36.73,0,2.56,3.43,0,0,1.19,35.27,0,1.84,0,4.47,10.98,0,2.34,40.8,4.62,54.37,0,0,308.23,0,0,0,0,12.57,0,0,0
