stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,123.98,3741.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.23,0,0,0,0,0,0,0,0
  5-6,172.29,2655.06,0,0,0,0,0,0,0,0,29.37,0,0,0,0,0,0,0,0,0,0,0,114.49,14.56,0,0,13.43,0,48.88,0,0,0,0,0,0,0,0
  7-9,56.27,54.79,192.16,0,0,111.13,0,0,0,0,155.77,0,0,0,0,0,0,0,0,0,0,0,1051.65,75.99,0,0,400.57,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,47.64,42.4,0,0,79.86,0,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,0,732.28,17.18,0,0,227.02,0,0,15.36,8.32,57.67,4.89,0,0,0,0
 14-21,0,0,2.35,47.84,2.83,14.77,0,0,2.84,0,0,0,0,0,0,0,0,0.85,10.84,0,0,9.66,227.13,4.29,2.54,2.66,9.93,0,17.12,0,12.28,4.1,16.82,44.62,0,2.22,0
 24-34,0,0,0.63,8.87,1.84,29.78,0,0,7.44,0,0,0.92,0.98,0.65,0,0.67,0,4.23,23.76,0,0,7.91,471.53,3.46,3.98,2.97,0,0,34.02,0,0,0,0.88,130.46,0,3.74,0
 36-46,0,0,0,20.61,0,108.83,1.62,0.59,9.55,0,0,0.89,0,0,1.17,3.91,0,0,51.28,0,3.28,13.44,366.28,2.73,3.8,1.31,0,0,23.54,0,0,0.62,0,82.8,0,10,0
 48-58,0,0,0,1.55,0.4,203.97,1.09,0.4,11.18,0,0.48,3.96,0,0,0,0.51,0,0,30.54,0.82,0.87,3.93,235.83,3.22,2.34,0.51,0,0,10.11,0,0,0,0,40.45,0,0.56,3.84
 60-70,0,0,0,1.55,4.71,169.76,0.59,0,3.76,0,0,0,1.37,0,0.72,0,0,0.71,30.47,0,2.04,1.53,160.24,1.36,1.42,0,0,0,5.72,0,0,0,0,11.28,0,1.58,0
 72-82,0,0,0,6.98,0,68.35,0.99,0.69,19.6,0,0.5,1.25,1.02,0.52,0,0,0,0,31.55,0.73,2.32,2.49,101.1,0.51,2.65,2.22,0,0,2.15,0,0,0,0,13.94,0.49,4.06,0
 84-94,0,0,0,11.35,0.58,34.86,0.8,1.41,3.72,3.14,0.77,0.7,1.61,0,3.02,0,0,0,14.85,0,2.6,3.17,43.24,0,0,4.61,0,0,2.58,0,0,0,0,7.18,0,0,0
 96-106,0,0,0,2.6,0.82,18.48,0.66,0,9.58,2.14,0,0.62,5.87,0,0.72,0,0,0,11.21,0,1.74,2.76,51.7,0,1.65,0.64,0,0,11.45,0,0,0,0,3.34,0,3.21,0
108-118,0,0,0,5.72,3.75,27.01,0.42,1.03,13.12,0,0,0,1.63,0,1.93,0,0,0,4.94,1.27,0,2.31,61.6,1.72,0.54,1.39,0,0.91,9.32,0,0,0,0,0,0,10.28,0
120,0,0,0,16.99,1.1,23.48,0,0,8.06,0,0,4.12,1.03,1.36,0,0,1.23,0,19.67,0,0,0,65.86,0,0,8.85,0,0,1.03,0,0,0,0,0,0,0,0
